analysis_fingerprint,data_fingerprint,dataset_pair,profile,latent_dim,model,nll_per_scalar_mean,nll_per_scalar_std,nll_per_scalar_median,nll_per_scalar_min,nll_per_scalar_max,one_step_r2_mean,one_step_r2_std,one_step_r2_median,one_step_r2_min,one_step_r2_max,rollout_nrmse_mean,rollout_nrmse_std,rollout_nrmse_median,rollout_nrmse_min,rollout_nrmse_max,parameter_count_mean,parameter_count_std,parameter_count_median,parameter_count_min,parameter_count_max,effective_rank_mean,effective_rank_std,effective_rank_median,effective_rank_min,effective_rank_max,top_k_singular_energy_mean,top_k_singular_energy_std,top_k_singular_energy_median,top_k_singular_energy_min,top_k_singular_energy_max,subspace_angle_degrees_mean,subspace_angle_degrees_std,subspace_angle_degrees_median,subspace_angle_degrees_min,subspace_angle_degrees_max,n_computational_seeds
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,shared,-0.24110564073336188,0.013860603879901503,-0.24279256287831086,-0.2694885425220094,-0.21708578528779723,-0.0019306002027709933,0.0005194604048550723,-0.0021037139483444,-0.0025023296302671,-0.0005420525367375332,1.013894485148414,0.0012645496059481003,1.0136599194475107,1.010771244064975,1.0158035718300455,653.0,0.0,653.0,653.0,653.0,1.7754094274701555,0.11302764014119375,1.8031934269921714,1.4845045302373088,1.9125925239781714,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,shuffled,-0.23996376149368062,0.01390713719784097,-0.2412300940677275,-0.2678845479262846,-0.2161483491026459,-0.0029082970910786652,0.00029581464864821835,-0.00297318159765405,-0.0033674666505035,-0.002339938770979,1.0135228161008538,0.0012381848847429228,1.013274791577824,1.0103807918465761,1.0152717327381695,653.0,0.0,653.0,653.0,653.0,1.4743771051826269,0.07566447748147101,1.4514065513142809,1.364460553024208,1.616409607387938,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,common,-0.23984417633123808,0.013945281166648359,-0.24143392843969255,-0.2682101455263542,-0.21526862206951,-0.0007429361577163817,0.0004999473544736083,-0.0009052962222003166,-0.0014074478327760667,0.0004637939277187333,1.0131988491941128,0.0012418859044067113,1.012948596633287,1.0100071006955542,1.014826556836743,910.0,0.0,910.0,910.0,910.0,3.4114551872606844,0.1299563515994332,3.4219875344275197,3.1582946175110185,3.687994895644636,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,orthogonal,-0.23728140936272513,0.01395206313050751,-0.23854038925768314,-0.265307170076678,-0.21343669619619718,-0.002743154901201598,0.00027006294879336555,-0.0027090895793666836,-0.0031924156166994663,-0.0023391579262238334,1.0132270405665433,0.0012392524401100681,1.0130086064941584,1.0100477151540526,1.0149375482012508,934.0,0.0,934.0,934.0,934.0,3.312751577764471,0.143926806444569,3.3363691753457934,3.0719996142142474,3.5436815616738144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,random,-0.23737234360815357,0.013996142877843658,-0.23889683335529804,-0.26538448700629924,-0.21321480583638777,-0.00300017947084954,0.0003301838748436035,-0.003048828834060783,-0.0036451331025671996,-0.002294694843854033,1.0132298214819093,0.0012442652907637712,1.0129737229742921,1.010006568147818,1.0148672426546672,432.0,0.0,432.0,432.0,432.0,3.204486567619262,0.16789640112535442,3.24302522037095,2.948793867775033,3.5425200380625568,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,separate,-0.22432717258115215,0.016264787453833314,-0.22298294281653824,-0.2544163730445302,-0.19441108688504793,-0.0013983821276706367,0.00047953966776947526,-0.0014942191531664667,-0.0024463615693126333,-0.0003413966443593666,1.013770413985517,0.001231334901242037,1.0135074701269189,1.0107642832513448,1.01550651788154,1692.0,0.0,1692.0,1692.0,1692.0,2.8389847963655344,0.20361148387028027,2.772037305028243,2.5504528400979645,3.362348875069436,1.0,0.0,1.0,1.0,1.0,88.09866770930786,1.152351329310061,88.64275367019752,85.59039631569952,89.41141804021618,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,shared,-0.23964790342431116,0.013956182019324715,-0.24127877340121018,-0.2680347009280149,-0.21492209236306117,-0.0015668300439946516,0.0005868899577532174,-0.0017082539225695835,-0.0022233610805276003,-0.00035198122076783334,1.0139481157575627,0.001252771113618665,1.013726755765816,1.0108839780103536,1.0158340432342878,934.0,0.0,934.0,934.0,934.0,3.0297146329818383,0.1404522270541811,3.0235280582545387,2.8391522009454087,3.36963718487173,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,4,shuffled,-0.23821423665008168,0.013910690420929612,-0.2394919992696573,-0.2661948880438959,-0.21432437167989593,-0.002859554129420543,0.00029295207491396546,-0.0028989603397594167,-0.003326984743240767,-0.0023287406434521,1.01354541013712,0.0012369998219138162,1.0132955551179705,1.0104093324825036,1.015270241055435,934.0,0.0,934.0,934.0,934.0,2.6385082220543805,0.17423975417196633,2.6153246716498098,2.408346969314816,2.9915647251589803,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,common,-0.23588853352090738,0.013949251516289769,-0.23740589315678576,-0.2643121402035355,-0.2113780128103898,-0.0003977643507315796,0.0004917858182483508,-0.0005682281583952833,-0.0011336893546542999,0.0007054162717336667,1.0131984796451365,0.0012418413733979302,1.012948685154949,1.0100060972371663,1.0148269004499006,1452.0,0.0,1452.0,1452.0,1452.0,6.170966917218219,0.2827501765234537,6.160476266906212,5.671263767850057,6.731756695716097,0.9209321860713743,0.016946195409411988,0.9216693623114979,0.8862397393131638,0.945032928105969,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,orthogonal,-0.23226058296798943,0.013926665901947848,-0.2336586015866144,-0.25963784457274874,-0.2085090140459013,-0.00267026813637768,0.0002883021425113811,-0.00263631238462495,-0.003206211642813333,-0.0020626713928336665,1.013148803730132,0.0012305563159215112,1.0127920302212143,1.009944955634252,1.0148244301913398,1532.0,0.0,1532.0,1532.0,1532.0,6.351000309796551,0.14505229634516434,6.355003950016792,5.965988385485112,6.6439045987318925,0.9001770800626445,0.01234273329130044,0.8980625368537876,0.879621680992917,0.931135585709149,0.0,0.0,0.0,0.0,0.0,20
