session_id,panel,condition,accuracy,post_switch_accuracy,detection_precision,detection_recall,false_alarms_per_1000,median_detection_delay,n_frames_nested,n_switches_nested,n_alarms_nested,n_matched_switches_nested,n_seed_task_rows,n_seeds
s3,hidden_switch,oracle_change_reset,0.9645208333333334,0.9609000000000001,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s3,hidden_switch,sliding_window,0.9414791666666668,0.9274000000000001,,0.0,0.0,,48000,1250,0,0,250,5
s3,natural,bocpd_change_reset,0.978296875,,,,0.0,,128000,0,0,0,250,5
s3,natural,bocpd_posterior,0.9776328125,,,,0.0,,128000,0,0,0,250,5
s3,natural,bocpd_score_no_reset,0.978296875,,,,0.0,,128000,0,0,0,250,5
s3,natural,cumulative,0.978296875,,,,0.0,,128000,0,0,0,250,5
s3,natural,current_frame,0.9503671875,,,,0.0,,128000,0,0,0,250,5
s3,natural,fixed_forgetting,0.9503671875,,,,0.0,,128000,0,0,0,250,5
s3,natural,matched_shifted_reset,0.978296875,,,,0.0,,128000,0,0,0,250,5
s3,natural,oracle_change_reset,0.978296875,,,,0.0,,128000,0,0,0,250,5
s3,natural,sliding_window,0.9517734375,,,,0.0,,128000,0,0,0,250,5
s4,hidden_switch,bocpd_change_reset,0.40277083333333336,0.20255,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,bocpd_posterior,0.462,0.18580000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,bocpd_score_no_reset,0.40277083333333336,0.20255,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,cumulative,0.40277083333333336,0.20255,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,current_frame,0.9483125,0.9492999999999999,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,fixed_forgetting,0.9483125,0.9492999999999999,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,matched_shifted_reset,0.40277083333333336,0.20255,,0.0,0.0,,48000,1250,0,0,250,5
s4,hidden_switch,oracle_change_reset,0.9668125,0.9607,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s4,hidden_switch,sliding_window,0.9376875,0.9216,,0.0,0.0,,48000,1250,0,0,250,5
s4,natural,bocpd_change_reset,0.982890625,,,,0.0,,128000,0,0,0,250,5
s4,natural,bocpd_posterior,0.98265625,,,,0.0,,128000,0,0,0,250,5
s4,natural,bocpd_score_no_reset,0.982890625,,,,0.0,,128000,0,0,0,250,5
s4,natural,cumulative,0.982890625,,,,0.0,,128000,0,0,0,250,5
s4,natural,current_frame,0.9490625,,,,0.0,,128000,0,0,0,250,5
s4,natural,fixed_forgetting,0.9490625,,,,0.0,,128000,0,0,0,250,5
s4,natural,matched_shifted_reset,0.982890625,,,,0.0,,128000,0,0,0,250,5
s4,natural,oracle_change_reset,0.982890625,,,,0.0,,128000,0,0,0,250,5
s4,natural,sliding_window,0.9506640625,,,,0.0,,128000,0,0,0,250,5
s5,hidden_switch,bocpd_change_reset,0.3994791666666666,0.21375,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,bocpd_posterior,0.45025,0.21055000000000001,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,bocpd_score_no_reset,0.3994791666666666,0.21375,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,cumulative,0.3994791666666666,0.21375,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,current_frame,0.9261458333333333,0.9272,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,fixed_forgetting,0.9261458333333333,0.9272,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,matched_shifted_reset,0.3994791666666666,0.21375,,0.0,0.0,,48000,1250,0,0,250,5
s5,hidden_switch,oracle_change_reset,0.9445,0.94035,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s5,hidden_switch,sliding_window,0.9174166666666668,0.9029,,0.0,0.0,,48000,1250,0,0,250,5
s5,natural,bocpd_change_reset,0.977,,,,0.0,,128000,0,0,0,250,5
s5,natural,bocpd_posterior,0.9753125,,,,0.0,,128000,0,0,0,250,5
s5,natural,bocpd_score_no_reset,0.977,,,,0.0,,128000,0,0,0,250,5
s5,natural,cumulative,0.977,,,,0.0,,128000,0,0,0,250,5
s5,natural,current_frame,0.929625,,,,0.0,,128000,0,0,0,250,5
s5,natural,fixed_forgetting,0.929625,,,,0.0,,128000,0,0,0,250,5
s5,natural,matched_shifted_reset,0.977,,,,0.0,,128000,0,0,0,250,5
s5,natural,oracle_change_reset,0.977,,,,0.0,,128000,0,0,0,250,5
s5,natural,sliding_window,0.9328203125,,,,0.0,,128000,0,0,0,250,5
s6,hidden_switch,bocpd_change_reset,0.3899583333333333,0.20840000000000003,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,bocpd_posterior,0.43283333333333335,0.19689999999999996,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,bocpd_score_no_reset,0.3899583333333333,0.20840000000000003,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,cumulative,0.3899583333333333,0.20840000000000003,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,current_frame,0.8926666666666666,0.9004000000000001,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,fixed_forgetting,0.8926666666666666,0.9004000000000001,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,matched_shifted_reset,0.3899583333333333,0.20840000000000003,,0.0,0.0,,48000,1250,0,0,250,5
s6,hidden_switch,oracle_change_reset,0.9317083333333334,0.9196,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s6,hidden_switch,sliding_window,0.8878333333333333,0.8804500000000001,,0.0,0.0,,48000,1250,0,0,250,5
s6,natural,bocpd_change_reset,0.9621015625,,,,0.0,,128000,0,0,0,250,5
s6,natural,bocpd_posterior,0.961640625,,,,0.0,,128000,0,0,0,250,5
s6,natural,bocpd_score_no_reset,0.9621015625,,,,0.0,,128000,0,0,0,250,5
s6,natural,cumulative,0.9621015625,,,,0.0,,128000,0,0,0,250,5
s6,natural,current_frame,0.8887734375,,,,0.0,,128000,0,0,0,250,5
s6,natural,fixed_forgetting,0.8887734375,,,,0.0,,128000,0,0,0,250,5
s6,natural,matched_shifted_reset,0.9621015625,,,,0.0,,128000,0,0,0,250,5
s6,natural,oracle_change_reset,0.9621015625,,,,0.0,,128000,0,0,0,250,5
s6,natural,sliding_window,0.8946640625,,,,0.0,,128000,0,0,0,250,5
s7,hidden_switch,bocpd_change_reset,0.38889583333333333,0.19889999999999997,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,bocpd_posterior,0.4455208333333333,0.19535000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,bocpd_score_no_reset,0.38889583333333333,0.19889999999999997,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,cumulative,0.38889583333333333,0.19889999999999997,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,current_frame,0.9194375,0.91735,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,fixed_forgetting,0.9194375,0.91735,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,matched_shifted_reset,0.38889583333333333,0.19889999999999997,,0.0,0.0,,48000,1250,0,0,250,5
s7,hidden_switch,oracle_change_reset,0.9431041666666667,0.9331999999999999,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s7,hidden_switch,sliding_window,0.910125,0.892,,0.0,0.0,,48000,1250,0,0,250,5
s7,natural,bocpd_change_reset,0.9734921875,,,,0.0,,128000,0,0,0,250,5
s7,natural,bocpd_posterior,0.9728125,,,,0.0,,128000,0,0,0,250,5
s7,natural,bocpd_score_no_reset,0.9734921875,,,,0.0,,128000,0,0,0,250,5
s7,natural,cumulative,0.9734921875,,,,0.0,,128000,0,0,0,250,5
s7,natural,current_frame,0.9236953125,,,,0.0,,128000,0,0,0,250,5
s7,natural,fixed_forgetting,0.9236953125,,,,0.0,,128000,0,0,0,250,5
s7,natural,matched_shifted_reset,0.9734921875,,,,0.0,,128000,0,0,0,250,5
s7,natural,oracle_change_reset,0.9734921875,,,,0.0,,128000,0,0,0,250,5
s7,natural,sliding_window,0.92578125,,,,0.0,,128000,0,0,0,250,5
s8,hidden_switch,bocpd_change_reset,0.39691666666666664,0.20025,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,bocpd_posterior,0.45641666666666664,0.18455000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,bocpd_score_no_reset,0.39691666666666664,0.20025,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,cumulative,0.39691666666666664,0.20025,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,current_frame,0.9445208333333333,0.94345,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,fixed_forgetting,0.9445208333333333,0.94345,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,matched_shifted_reset,0.39691666666666664,0.20025,,0.0,0.0,,48000,1250,0,0,250,5
s8,hidden_switch,oracle_change_reset,0.9646458333333334,0.95205,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s8,hidden_switch,sliding_window,0.9340416666666668,0.9158,,0.0,0.0,,48000,1250,0,0,250,5
s8,natural,bocpd_change_reset,0.982609375,,,,0.0,,128000,0,0,0,250,5
s8,natural,bocpd_posterior,0.982546875,,,,0.0,,128000,0,0,0,250,5
s8,natural,bocpd_score_no_reset,0.982609375,,,,0.0,,128000,0,0,0,250,5
s8,natural,cumulative,0.982609375,,,,0.0,,128000,0,0,0,250,5
s8,natural,current_frame,0.94759375,,,,0.0,,128000,0,0,0,250,5
s8,natural,fixed_forgetting,0.94759375,,,,0.0,,128000,0,0,0,250,5
s8,natural,matched_shifted_reset,0.982609375,,,,0.0,,128000,0,0,0,250,5
s8,natural,oracle_change_reset,0.982609375,,,,0.0,,128000,0,0,0,250,5
s8,natural,sliding_window,0.949171875,,,,0.0,,128000,0,0,0,250,5
s9,hidden_switch,bocpd_change_reset,0.40622916666666664,0.21855000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,bocpd_posterior,0.4524583333333333,0.21285,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,bocpd_score_no_reset,0.40622916666666664,0.21855000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,cumulative,0.40622916666666664,0.21855000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,current_frame,0.92175,0.9232,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,fixed_forgetting,0.92175,0.9232,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,matched_shifted_reset,0.40622916666666664,0.21855000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s9,hidden_switch,oracle_change_reset,0.942125,0.9344000000000001,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s9,hidden_switch,sliding_window,0.9132083333333333,0.8990499999999999,,0.0,0.0,,48000,1250,0,0,250,5
s9,natural,bocpd_change_reset,0.9678203125,,,,0.0,,128000,0,0,0,250,5
s9,natural,bocpd_posterior,0.966453125,,,,0.0,,128000,0,0,0,250,5
s9,natural,bocpd_score_no_reset,0.9678203125,,,,0.0,,128000,0,0,0,250,5
s9,natural,cumulative,0.9678203125,,,,0.0,,128000,0,0,0,250,5
s9,natural,current_frame,0.9155078125,,,,0.0,,128000,0,0,0,250,5
s9,natural,fixed_forgetting,0.9155078125,,,,0.0,,128000,0,0,0,250,5
s9,natural,matched_shifted_reset,0.9678203125,,,,0.0,,128000,0,0,0,250,5
s9,natural,oracle_change_reset,0.9678203125,,,,0.0,,128000,0,0,0,250,5
s9,natural,sliding_window,0.91821875,,,,0.0,,128000,0,0,0,250,5
