seed,method,block_id,sequence_id,cell,block_length,n_jumps,nll,latent_mse,late_nll,late_latent_mse,mean_h,mean_q,mean_r,mean_jump_probability,mean_release_probability
43004,oracle_event_learned_qr,20,1,011,128,0,0.8195886734476979,0.07259618135622714,0.7414096213175939,0.0451791250689641,0.03452957018441292,0.034221302377101095,0.16845885735410343,0.02124204423910621,0.0
43004,oracle_event_learned_qr,21,1,110,96,5,0.36586011985759087,0.03549359004803459,-0.02896648981094227,0.012343502063693848,0.03192450862108625,0.015647838998601334,0.07768599402476707,0.027108870938618617,0.052083333333333336
43004,oracle_event_learned_qr,22,1,111,64,4,1.2448351941751383,0.09253587397941687,1.259792094586082,0.10605539860659478,0.03315144326780374,0.03424744720011208,0.17028190007751787,0.06288189267236569,0.0625
43004,oracle_event_learned_qr,23,1,110,64,3,0.5064462492948794,0.03771440461329898,0.26632944922242374,0.04755855777697865,0.03533059804074822,0.017459642746352616,0.08748837307663251,0.04000147673803951,0.046875
43004,oracle_event_learned_qr,24,2,111,128,9,1.2055093825744674,0.052588389353145915,0.9719920405883221,0.042055051965760815,0.01610705196859475,0.08560358730107531,0.10473964911230658,0.06559464688552766,0.0703125
43004,oracle_event_learned_qr,25,2,101,96,9,1.0219264400265438,0.034815746336970405,1.154552941877485,0.03650888188580468,0.02511896294566268,0.050091645858265164,0.14708319759040736,0.05801952127707629,0.09375
43004,oracle_event_learned_qr,26,2,111,96,1,0.9330080546378859,0.06055135580501669,1.3109724449547673,0.1121623765522317,0.027467661909031788,0.04453208692451838,0.17315141897532102,0.01767147435894808,0.010416666666666666
43004,oracle_event_learned_qr,27,2,111,64,3,1.0067348253392046,0.050841383161799536,0.8475476357857528,0.07154196034921424,0.02935009935821059,0.04381109644384032,0.18677751789842614,0.04417357034244555,0.046875
43004,oracle_event_learned_qr,28,2,011,96,2,0.7924218852335048,0.04675221556971971,0.8691550480415136,0.03158932722958464,0.02848750666182305,0.031142975560998726,0.1443194678658218,0.030356489564270128,0.020833333333333332
43004,oracle_event_learned_qr,29,2,110,64,5,0.4260606324163574,0.015728380339845117,0.45404313792025347,0.02289412017330834,0.030772609036717375,0.014499907505742864,0.07022771934251928,0.05302137384411575,0.078125
43004,oracle_event_learned_qr,30,2,110,96,5,0.42360152411286195,0.027814105972707396,0.9262732820244192,0.03964027715908515,0.031865633189088215,0.010530893302310653,0.052032992805543465,0.03397863022655095,0.052083333333333336
43004,oracle_event_learned_qr,31,2,101,64,5,1.0822314390773036,0.03378929397858402,0.9157844998549469,0.04316393752615308,0.03635983671989139,0.023383372732459943,0.11685582243624411,0.06997637237803583,0.078125
43004,oracle_event_learned_qr,32,2,101,128,5,0.874316007503221,0.0430090352957906,0.8680956343572206,0.03692006062296391,0.0370190560644578,0.027592045572832673,0.139304148085445,0.04865499423129077,0.0390625
43004,oracle_event_learned_qr,33,2,110,128,7,0.5859470981589305,0.03470048110310327,0.26128807313071156,0.03491373728277755,0.0418551083938533,0.013038140710124446,0.06531876992123437,0.06588182637128841,0.0546875
43004,oracle_event_learned_qr,34,2,011,64,0,0.8086687917210852,0.05467711398775686,0.753539511331241,0.05146722704531761,0.045452804619589046,0.024982526730299288,0.12563044249349983,0.04148226700531943,0.0
43004,oracle_event_learned_qr,35,2,011,128,0,0.7680233699746065,0.060302582533122664,0.7079382221008947,0.037580053600477614,0.042709606431988775,0.029935641081245967,0.14961490785905324,0.02345122799143471,0.0
43004,oracle_event_learned_qr,36,3,101,96,6,1.0952055249640182,0.06764732819323255,0.7258519914415122,0.02722502236805707,0.013562502004200385,0.07946060445981627,0.08932313374502306,0.053564460544379466,0.0625
43004,oracle_event_learned_qr,37,3,101,64,3,0.7964400100080969,0.07592120652705289,0.865762446724526,0.06779289497522187,0.017106899914409116,0.05457117640019536,0.13591970462048336,0.008676483468814437,0.046875
43004,oracle_event_learned_qr,38,3,111,64,5,0.9126075628408421,0.061894463343198855,0.8628098284740413,0.04360537483379113,0.01806772738049957,0.039410192635009327,0.13193496422643725,0.053636810004821255,0.078125
43004,oracle_event_learned_qr,39,3,111,128,5,0.9428605319520784,0.07336726981690816,0.6755126032888552,0.03128404275977772,0.021110396602590203,0.050530356620005074,0.19255062930497147,0.01869899476377367,0.0390625
43004,oracle_event_learned_qr,40,3,011,64,0,0.7907544443247406,0.0916308178565646,0.7217457961820429,0.06167358757357485,0.019886646162272287,0.03832096842536684,0.16905055402971042,0.007014137208610794,0.0
43004,oracle_event_learned_qr,41,3,111,96,4,0.929807302899705,0.04997725417432206,1.034203801080519,0.04008708285100943,0.022175988264466966,0.02708381712156735,0.1290803008810276,0.04951870262261802,0.041666666666666664
43004,oracle_event_learned_qr,42,3,110,64,2,0.38477483606664015,0.02796185791229854,0.33475006454317124,0.032475355963974634,0.02417750887159409,0.015321977331180134,0.07507343376018448,0.0193645091560677,0.03125
43004,oracle_event_learned_qr,43,3,011,96,0,0.8615232726036636,0.07071640763450901,0.7746421183971388,0.022030855041922127,0.02166066461309486,0.03321512382897246,0.16331477487885765,0.0033390837150552907,0.0
43004,oracle_event_learned_qr,44,3,101,128,5,0.6110501252845782,0.03702970278764515,0.8876898895878561,0.031454819395659986,0.01850835759476381,0.023737392263932965,0.11788456174494519,0.008863073030517345,0.0390625
43004,oracle_event_learned_qr,45,3,110,128,9,0.5390829333260634,0.028647675299985416,0.49960105456802023,0.029303534481370883,0.023223959809912417,0.014006537688450114,0.06998168588628409,0.0604282660335767,0.0703125
43004,oracle_event_learned_qr,46,3,110,96,4,0.46869430914622506,0.04440507850020955,0.684832036131319,0.02239020840889937,0.026466931082225243,0.014998130521084072,0.07472505972568651,0.030735206939925108,0.041666666666666664
43004,oracle_event_learned_qr,47,3,011,128,1,0.88527889281878,0.07669016785080075,1.0402555028786051,0.10065743539702815,0.02836302868147443,0.02922672336198432,0.14542429048003624,0.02193115815120714,0.0078125
43004,learned_event_oracle_qr,0,0,110,128,9,0.31651055554816887,0.008990675102247672,0.3633389071970494,0.00703201617468808,0.013371391774082284,0.04,0.01,0.04208762625225378,0.04208762625225378
43004,learned_event_oracle_qr,1,0,011,128,1,0.8961050343494501,0.061490986170969944,0.7808893235681711,0.057551981904690276,0.018018786729198426,0.04,0.16,0.018697956490227395,0.018697956490227395
43004,learned_event_oracle_qr,2,0,110,96,7,0.2702908784506802,0.00924309288170141,0.5383334904416253,0.012015129420796928,0.018418422950402618,0.039999999999999994,0.009999999999999998,0.04824767957493006,0.04824767957493006
43004,learned_event_oracle_qr,3,0,101,96,4,0.8239885439078772,0.04753291531198609,1.6509692508139213,0.15400640846314656,0.024239891627236086,0.0024999999999999996,0.15999999999999998,0.047094251701925015,0.047094251701925015
43004,learned_event_oracle_qr,4,0,101,128,9,0.9323122737797791,0.05581533164312376,1.2794054071555183,0.0832926560723008,0.028094506505350902,0.0025,0.16,0.036104907298043915,0.036104907298043915
43004,learned_event_oracle_qr,5,0,101,64,5,0.8264288924834424,0.09971683600381642,0.6553406800685717,0.18242587158419443,0.030828801360767155,0.0025,0.16,0.04151373027897429,0.04151373027897429
43004,learned_event_oracle_qr,6,0,111,128,6,1.0605697153953126,0.08926389370413651,1.0980007631274329,0.07943586286531812,0.03321020836424929,0.04,0.16,0.04704326803493539,0.04704326803493539
43004,learned_event_oracle_qr,7,0,011,64,0,0.8825747039340288,0.08018358485334315,0.5360980533079257,0.038794217073467294,0.034621332871071726,0.04,0.16,0.03420493573785544,0.03420493573785544
43004,learned_event_oracle_qr,8,0,011,96,0,0.8454078531937551,0.06347423479617353,0.9735188095532903,0.03668377363719878,0.03258765939809284,0.039999999999999994,0.15999999999999998,0.01094821445653483,0.01094821445653483
43004,learned_event_oracle_qr,9,0,111,64,2,0.9445687619292669,0.07613138521097956,1.0139971951656541,0.05189889030907033,0.031068562929177562,0.04,0.16,0.04526344548526137,0.04526344548526137
43004,learned_event_oracle_qr,10,0,111,96,4,0.9525116550697429,0.07563907691595541,1.3903039984815684,0.08572153659974421,0.031721803722827346,0.039999999999999994,0.15999999999999998,0.05107673930063736,0.05107673930063736
43004,learned_event_oracle_qr,11,0,110,64,4,0.3206163017423826,0.00907279441349789,0.454473937993999,0.006417323685250998,0.03657079095020405,0.04,0.01,0.06887529792373566,0.06887529792373566
43004,learned_event_oracle_qr,12,1,111,96,4,0.9187347232072982,0.07635930674736148,0.8688334927293282,0.03971314079946725,0.012236871224737952,0.039999999999999994,0.15999999999999998,0.03742667037172313,0.03742667037172313
43004,learned_event_oracle_qr,13,1,111,128,7,1.0350182475675167,0.07175194017161671,0.9775512355496899,0.024615327259026164,0.018731646295202027,0.04,0.16,0.04912918443547669,0.04912918443547669
43004,learned_event_oracle_qr,14,1,011,64,1,0.7367821232314942,0.05568929366297621,0.5951766063154689,0.014807403635470468,0.022613983764407583,0.04,0.16,0.02395327097528789,0.02395327097528789
43004,learned_event_oracle_qr,15,1,011,96,0,0.7906891322128571,0.06026313705109746,0.7246711448043129,0.04609219336923971,0.022040455500383735,0.039999999999999994,0.15999999999999998,0.011397690551812202,0.011397690551812202
43004,learned_event_oracle_qr,16,1,101,96,7,0.9163400967458815,0.08673730970139253,0.8741183590458645,0.08466313116908131,0.022528583151620114,0.0024999999999999996,0.15999999999999998,0.04149050283624671,0.04149050283624671
43004,learned_event_oracle_qr,17,1,101,64,3,0.8072564394655166,0.049479432493686554,1.2544950650758042,0.0615038281659451,0.02439381791799601,0.0025,0.16,0.03856782527481786,0.03856782527481786
43004,learned_event_oracle_qr,18,1,110,128,8,0.2693340875096517,0.008444732799943715,-0.09938793891775045,0.009044213921439493,0.030060790415609422,0.04,0.01,0.04832356205026174,0.04832356205026174
43004,learned_event_oracle_qr,19,1,101,128,6,0.8075097385650061,0.05122012230181214,0.6205430196131354,0.006819137063965604,0.03339559823810149,0.0025,0.16,0.04491336190747004,0.04491336190747004
43004,learned_event_oracle_qr,20,1,011,128,0,0.8032765791052361,0.06885299767563655,0.7323836949194072,0.04808762753348805,0.03186951876272784,0.04,0.16,0.01785565379258796,0.01785565379258796
43004,learned_event_oracle_qr,21,1,110,96,5,0.1541603157054407,0.008377295406673533,0.12796148561350387,0.009450940537245283,0.03086922798482436,0.039999999999999994,0.009999999999999998,0.03479759960670454,0.03479759960670454
43004,learned_event_oracle_qr,22,1,111,64,4,1.121904396790851,0.11046214617828405,1.2760055420264789,0.1621167971349491,0.03135733668997259,0.04,0.16,0.056358043561681184,0.056358043561681184
43004,learned_event_oracle_qr,23,1,110,64,3,0.19489142554401523,0.008068161015492145,-0.13871844781785303,0.008650556681694418,0.03371307550401758,0.04,0.01,0.03778443665933018,0.03778443665933018
43004,learned_event_oracle_qr,24,2,111,128,9,1.1874419348182925,0.06629968957380127,1.0605414643261084,0.07607908321669496,0.01576734039878791,0.04,0.16,0.06336013671325116,0.06336013671325116
43004,learned_event_oracle_qr,25,2,101,96,9,0.9850150900225478,0.03737723998348646,1.0290283343770308,0.05807302903190857,0.025112031309986918,0.0024999999999999996,0.15999999999999998,0.06303341043777237,0.06303341043777237
43004,learned_event_oracle_qr,26,2,111,96,1,0.9229813002711863,0.06446806940599821,1.35610016896707,0.12789393684725964,0.027853233965304692,0.039999999999999994,0.15999999999999998,0.01656560664888792,0.01656560664888792
43004,learned_event_oracle_qr,27,2,111,64,3,0.9969212184674757,0.056235755746913925,0.833578560784939,0.06782203342757352,0.029803837549659533,0.04,0.16,0.04712295068149329,0.04712295068149329
43004,learned_event_oracle_qr,28,2,011,96,2,0.8020595616959345,0.0533694600935263,0.8911419826056453,0.05025925797452389,0.028372772898546294,0.039999999999999994,0.15999999999999998,0.024106944775960218,0.024106944775960218
43004,learned_event_oracle_qr,29,2,110,64,5,0.3513401926915717,0.00676695185121862,0.3372092765046727,0.008694802357438011,0.031027678587238774,0.04,0.01,0.060957851296363684,0.060957851296363684
43004,learned_event_oracle_qr,30,2,110,96,5,0.3004897891074949,0.008645073359310113,0.6937696060817765,0.005928821994007681,0.03287771634403881,0.039999999999999994,0.009999999999999998,0.04554702096644986,0.04554702096644986
43004,learned_event_oracle_qr,31,2,101,64,5,0.9996808516860012,0.024422897159884275,0.8492164618393221,0.0225098711068677,0.0383979254241558,0.0025,0.16,0.06784208148506303,0.06784208148506303
