direct_reliability,association_load,distractor_writes,interference_pressure,actuator_mode,n_seeds,n_blocks,mean_full_accuracy,sd_full_accuracy,mean_deployment_accuracy
0.55,16,8,1.4375,fixed_associative,30,180,0.800390625,0.036869064877798806,0.8013020833333333
0.55,16,8,1.4375,fixed_routing,30,180,0.5483506944444444,0.04463017570337288,0.5500868055555556
0.55,16,8,1.4375,matched_probe_random,30,180,0.6682291666666667,0.0765616983483285,0.6672743055555556
0.55,16,8,1.4375,oracle_hidden_train_map,30,180,0.800390625,0.036869064877798806,0.8013020833333333
0.55,16,8,1.4375,reward_only_local,30,180,0.7326388888888888,0.04682809830281366,0.79609375
0.55,16,8,1.4375,train_fixed_best,30,180,0.6235243055555556,0.12732375700132031,0.6254340277777778
0.55,16,24,2.4375,associative_query_shuffled,30,180,0.5013020833333334,0.0424508128631763,0.5010416666666667
0.55,16,24,2.4375,fixed_associative,30,180,0.7398871527777777,0.04028462864259492,0.7412326388888889
0.55,16,24,2.4375,fixed_routing,30,180,0.5503472222222222,0.04516508708894534,0.5522569444444444
0.55,16,24,2.4375,matched_probe_random,30,180,0.6467013888888888,0.06100111922410713,0.6472222222222223
0.55,16,24,2.4375,oracle_hidden_train_map,30,180,0.7398871527777777,0.04028462864259492,0.7412326388888889
0.55,16,24,2.4375,reward_only_local,30,180,0.6900607638888889,0.04339087311520167,0.7339409722222222
0.55,16,24,2.4375,train_fixed_best,30,180,0.6061631944444444,0.09543265937337027,0.6097222222222223
0.55,16,48,3.9375,associative_query_shuffled,30,180,0.5002604166666667,0.04181470660393188,0.5003472222222223
0.55,16,48,3.9375,fixed_associative,30,180,0.6918402777777778,0.04370713044422176,0.6927083333333334
0.55,16,48,3.9375,fixed_routing,30,180,0.5483940972222222,0.04295860899743712,0.5466145833333333
0.55,16,48,3.9375,matched_probe_random,30,180,0.6206163194444444,0.060802968265458904,0.6170138888888889
0.55,16,48,3.9375,oracle_hidden_train_map,30,180,0.6918402777777778,0.04370713044422176,0.6927083333333334
0.55,16,48,3.9375,reward_only_local,30,180,0.6488715277777778,0.04868565788777745,0.6735243055555555
0.55,16,48,3.9375,train_fixed_best,30,180,0.5934027777777777,0.08105042291955773,0.5911458333333334
0.55,24,8,1.9375,associative_query_shuffled,30,180,0.5014322916666667,0.04439797082052397,0.4973958333333333
0.55,24,8,1.9375,fixed_associative,30,180,0.7637152777777778,0.03897618100873609,0.7616319444444445
0.55,24,8,1.9375,fixed_routing,30,180,0.5480034722222222,0.04776222035075859,0.5465277777777777
0.55,24,8,1.9375,matched_probe_random,30,180,0.6529079861111111,0.06697202681444903,0.64453125
0.55,24,8,1.9375,oracle_hidden_train_map,30,180,0.7637152777777778,0.03897618100873609,0.7616319444444445
0.55,24,8,1.9375,reward_only_local,30,180,0.71015625,0.04038947222550734,0.7590277777777777
0.55,24,8,1.9375,train_fixed_best,30,180,0.6095486111111111,0.10712264477154548,0.6091145833333333
0.55,24,24,2.9375,associative_query_shuffled,30,180,0.49921875,0.04221400212469883,0.4895833333333333
0.55,24,24,2.9375,fixed_associative,30,180,0.721875,0.03948013475791079,0.7230902777777778
0.55,24,24,2.9375,fixed_routing,30,180,0.5548177083333333,0.0475429238003185,0.55625
0.55,24,24,2.9375,matched_probe_random,30,180,0.6361545138888889,0.05591164430475585,0.6324652777777777
0.55,24,24,2.9375,oracle_hidden_train_map,30,180,0.721875,0.03948013475791079,0.7230902777777778
0.55,24,24,2.9375,reward_only_local,30,180,0.6728732638888889,0.04314025539344682,0.7059027777777778
0.55,24,24,2.9375,train_fixed_best,30,180,0.6041232638888889,0.09216845152378174,0.6077256944444445
0.55,24,48,4.4375,associative_query_shuffled,30,180,0.4959635416666667,0.04186828819042949,0.496875
0.55,24,48,4.4375,fixed_associative,30,180,0.6849826388888889,0.04032657529793389,0.6809895833333334
0.55,24,48,4.4375,fixed_routing,30,180,0.5522569444444444,0.04287273338435582,0.5548611111111111
0.55,24,48,4.4375,matched_probe_random,30,180,0.6166232638888889,0.04936246942977136,0.6133680555555555
0.55,24,48,4.4375,oracle_hidden_train_map,30,180,0.6849826388888889,0.04032657529793389,0.6809895833333334
0.55,24,48,4.4375,reward_only_local,30,180,0.6419270833333334,0.04684953335215036,0.6639756944444445
0.55,24,48,4.4375,train_fixed_best,30,180,0.591796875,0.07340338842107487,0.5915798611111112
0.9500000000000001,8,8,0.9375,associative_query_shuffled,30,180,0.49930555555555556,0.04499919444154483,0.4981770833333333
0.9500000000000001,8,8,0.9375,fixed_associative,30,180,0.8537326388888888,0.03142469887448581,0.8529513888888889
0.9500000000000001,8,8,0.9375,fixed_routing,30,180,0.9531684027777778,0.019410805689035106,0.9521701388888889
0.9500000000000001,8,8,0.9375,matched_probe_random,30,180,0.898046875,0.03596078573690088,0.8954861111111111
0.9500000000000001,8,8,0.9375,oracle_hidden_train_map,30,180,0.9531684027777778,0.019410805689035106,0.9521701388888889
0.9500000000000001,8,8,0.9375,reward_only_local,30,180,0.9229600694444444,0.024921915209542587,0.9453125
0.9500000000000001,8,8,0.9375,train_fixed_best,30,180,0.9231336805555556,0.053334366346190105,0.9236979166666667
0.9500000000000001,8,24,1.9375,associative_query_shuffled,30,180,0.5006510416666666,0.04345404279611353,0.5038194444444445
0.9500000000000001,8,24,1.9375,fixed_associative,30,180,0.76640625,0.03599703594107847,0.7620659722222223
0.9500000000000001,8,24,1.9375,fixed_routing,30,180,0.95078125,0.018647517297531408,0.9506076388888889
0.9500000000000001,8,24,1.9375,matched_probe_random,30,180,0.8621961805555556,0.053752125690350004,0.8655381944444445
0.9500000000000001,8,24,1.9375,oracle_hidden_train_map,30,180,0.95078125,0.018647517297531408,0.9506076388888889
0.9500000000000001,8,24,1.9375,reward_only_local,30,180,0.9033420138888889,0.025720015144961885,0.9478298611111111
0.9500000000000001,8,24,1.9375,train_fixed_best,30,180,0.8961805555555555,0.08931127081149043,0.8932291666666666
0.9500000000000001,8,48,3.4375,associative_query_shuffled,30,180,0.49678819444444444,0.04180564505319747,0.4954861111111111
0.9500000000000001,8,48,3.4375,fixed_associative,30,180,0.7087239583333333,0.041019209988976645,0.7060763888888889
0.9500000000000001,8,48,3.4375,fixed_routing,30,180,0.9503038194444444,0.019832503674155073,0.9487847222222222
0.9500000000000001,8,48,3.4375,matched_probe_random,30,180,0.8229166666666666,0.07040215807581358,0.8167534722222223
0.9500000000000001,8,48,3.4375,oracle_hidden_train_map,30,180,0.9503038194444444,0.019832503674155073,0.9487847222222222
0.9500000000000001,8,48,3.4375,reward_only_local,30,180,0.8885850694444445,0.028443790562062005,0.9480902777777778
0.9500000000000001,8,48,3.4375,train_fixed_best,30,180,0.8793836805555556,0.10900702480996863,0.8788194444444445
0.9500000000000001,16,8,1.4375,associative_query_shuffled,30,180,0.49822048611111114,0.043555584806245586,0.49609375
0.9500000000000001,16,8,1.4375,fixed_associative,30,180,0.799609375,0.035331364773004664,0.8001736111111111
0.9500000000000001,16,8,1.4375,fixed_routing,30,180,0.9521267361111111,0.018392159631229945,0.9541666666666667
0.9500000000000001,16,8,1.4375,matched_probe_random,30,180,0.8774305555555556,0.047167159305370895,0.8776041666666666
0.9500000000000001,16,8,1.4375,oracle_hidden_train_map,30,180,0.9521267361111111,0.018392159631229945,0.9541666666666667
0.9500000000000001,16,8,1.4375,reward_only_local,30,180,0.9102430555555555,0.02756870614208891,0.9432291666666667
0.9500000000000001,16,8,1.4375,train_fixed_best,30,180,0.9052951388888889,0.07451348488561675,0.9059027777777777
0.9500000000000001,16,24,2.4375,associative_query_shuffled,30,180,0.5018229166666667,0.04077596707738971,0.5012152777777777
0.9500000000000001,16,24,2.4375,fixed_associative,30,180,0.7358072916666667,0.03758532940541584,0.7337673611111111
0.9500000000000001,16,24,2.4375,fixed_routing,30,180,0.9478732638888889,0.021132115746620786,0.9503472222222222
0.9500000000000001,16,24,2.4375,matched_probe_random,30,180,0.8320746527777778,0.06490073839316411,0.821875
0.9500000000000001,16,24,2.4375,oracle_hidden_train_map,30,180,0.9478732638888889,0.021132115746620786,0.9503472222222222
0.9500000000000001,16,24,2.4375,reward_only_local,30,180,0.8953125,0.027804073718847893,0.9483506944444444
0.9500000000000001,16,24,2.4375,train_fixed_best,30,180,0.8850260416666667,0.09810528746302909,0.8850694444444445
0.9500000000000001,16,48,3.9375,associative_query_shuffled,30,180,0.5004340277777778,0.04313781827260683,0.5055555555555555
0.9500000000000001,16,48,3.9375,fixed_associative,30,180,0.6966145833333334,0.04124490112595332,0.7003472222222222
0.9500000000000001,16,48,3.9375,fixed_routing,30,180,0.9513020833333333,0.018356333509804864,0.9520833333333333
0.9500000000000001,16,48,3.9375,matched_probe_random,30,180,0.8241319444444445,0.07217896736340672,0.8260416666666667
0.9500000000000001,16,48,3.9375,oracle_hidden_train_map,30,180,0.9513020833333333,0.018356333509804864,0.9520833333333333
0.9500000000000001,16,48,3.9375,reward_only_local,30,180,0.8871527777777778,0.02606493374002954,0.9520833333333333
0.9500000000000001,16,48,3.9375,train_fixed_best,30,180,0.8760850694444444,0.11970715324732081,0.8800347222222222
0.9500000000000001,24,8,1.9375,associative_query_shuffled,30,180,0.4952256944444444,0.0431351833924786,0.49930555555555556
0.9500000000000001,24,8,1.9375,fixed_associative,30,180,0.7621961805555556,0.0360449712343768,0.7669270833333334
0.9500000000000001,24,8,1.9375,fixed_routing,30,180,0.9482638888888889,0.01964926905122328,0.9473958333333333
0.9500000000000001,24,8,1.9375,matched_probe_random,30,180,0.8565104166666667,0.05438990256034425,0.8600694444444444
0.9500000000000001,24,8,1.9375,oracle_hidden_train_map,30,180,0.9482638888888889,0.01964926905122328,0.9473958333333333
0.9500000000000001,24,8,1.9375,reward_only_local,30,180,0.8998697916666667,0.024573480045965886,0.9467881944444444
0.9500000000000001,24,8,1.9375,train_fixed_best,30,180,0.8911458333333333,0.09217499737678658,0.8933159722222223
0.9500000000000001,24,24,2.9375,associative_query_shuffled,30,180,0.4943576388888889,0.04238293010512892,0.49227430555555557
0.9500000000000001,24,24,2.9375,fixed_associative,30,180,0.71953125,0.036848944196176174,0.72265625
0.9500000000000001,24,24,2.9375,fixed_routing,30,180,0.9501302083333333,0.020299990104565596,0.95
0.9500000000000001,24,24,2.9375,matched_probe_random,30,180,0.8332465277777777,0.06546478338179604,0.8271701388888889
0.9500000000000001,24,24,2.9375,oracle_hidden_train_map,30,180,0.9501302083333333,0.020299990104565596,0.95
0.9500000000000001,24,24,2.9375,reward_only_local,30,180,0.8946614583333333,0.02639322035651126,0.95
0.9500000000000001,24,24,2.9375,train_fixed_best,30,180,0.8798611111111111,0.11139873687331836,0.8796006944444444
0.9500000000000001,24,48,4.4375,associative_query_shuffled,30,180,0.4986979166666667,0.04107922501494169,0.49618055555555557
0.9500000000000001,24,48,4.4375,fixed_associative,30,180,0.6854166666666667,0.04367105557028482,0.6864583333333333
0.9500000000000001,24,48,4.4375,fixed_routing,30,180,0.9484809027777777,0.019149057760422677,0.9497395833333333
0.9500000000000001,24,48,4.4375,matched_probe_random,30,180,0.8192274305555556,0.07226996645803642,0.8233506944444444
0.9500000000000001,24,48,4.4375,oracle_hidden_train_map,30,180,0.9484809027777777,0.019149057760422677,0.9497395833333333
0.9500000000000001,24,48,4.4375,reward_only_local,30,180,0.882421875,0.02572325561957587,0.9497395833333333
0.9500000000000001,24,48,4.4375,train_fixed_best,30,180,0.8673177083333333,0.12592804010504569,0.8700520833333333
