seed,fixed_routing_macro_accuracy,fixed_associative_macro_accuracy,associative_query_shuffled_macro_accuracy,train_fixed_best_macro_accuracy,matched_probe_random_macro_accuracy,reward_only_local_macro_accuracy,oracle_hidden_train_map_macro_accuracy,reward_only_minus_fixed,reward_only_minus_random,oracle_opportunity,oracle_gain_retained,oracle_retention_margin,reliability_crossover,associative_query_specificity,reward_selector_posthoc_choice_accuracy,mean_local_regret,memory_pressure_spearman,n_memory_better_cells,n_routing_better_cells,both_actuator_winners_present
12,0.7534722222222222,0.7465277777777778,0.5028935185185185,0.7465277777777778,0.7452980324074074,0.7970196759259259,0.8484519675925926,0.05049189814814814,0.05172164351851849,0.10192418981481477,0.4953867991483323,0.025010850694444448,0.39713541666666663,0.32161458333333337,0.9259259259259259,0.051432291666666664,-0.9761904761904763,9,9,True
13,0.7464554398148148,0.75,0.4991319444444444,0.7464554398148148,0.7486255787037037,0.7957175925925926,0.8456307870370371,0.04926215277777779,0.04709201388888884,0.09917534722222232,0.49671772428883987,0.02446831597222221,0.36458333333333337,0.33333333333333337,0.9259259259259259,0.05005787037037037,-0.9047619047619048,9,9,True
14,0.7503616898148148,0.7486255787037037,0.4947916666666667,0.7486255787037037,0.7427662037037037,0.7934751157407407,0.8498263888888888,0.04484953703703698,0.05070891203703698,0.10120081018518512,0.44317369549678315,0.0195493344907407,0.40234375,0.3489583333333333,0.9259259259259259,0.05635127314814815,-0.9761904761904763,9,9,True
15,0.7544126157407407,0.7499276620370371,0.4982638888888889,0.7499276620370371,0.7535445601851852,0.7966579861111112,0.8495370370370371,0.04673032407407407,0.04311342592592593,0.099609375,0.4691358024691358,0.02182798032407407,0.42447916666666663,0.3684895833333333,0.9351851851851852,0.05287905092592592,-1.0,9,9,True
16,0.7459490740740741,0.7424768518518519,0.5012297453703703,0.7424768518518519,0.7523871527777778,0.7919560185185185,0.8432436342592593,0.04947916666666663,0.0395688657407407,0.10076678240740744,0.4910265613783196,0.02428747106481477,0.39973958333333326,0.3463541666666667,0.9537037037037037,0.05128761574074074,-0.9285714285714287,9,9,True
17,0.7560040509259259,0.7484085648148148,0.49486400462962965,0.7560040509259259,0.7599826388888888,0.8024450231481481,0.8486689814814815,0.04644097222222221,0.0424623842592593,0.09266493055555558,0.5011709601873534,0.023274739583333315,0.39583333333333326,0.31770833333333326,0.9814814814814815,0.046223958333333336,-0.9761904761904763,9,9,True
18,0.7566550925925926,0.7507233796296297,0.5025318287037037,0.7566550925925926,0.7487702546296297,0.7981770833333334,0.8502604166666666,0.04152199074074081,0.04940682870370372,0.09360532407407407,0.44358578052550307,0.018120659722222293,0.40494791666666663,0.37109375000000006,0.9259259259259259,0.052083333333333336,-1.0,9,9,True
19,0.7492766203703703,0.7465277777777778,0.4991319444444444,0.7492766203703703,0.7482638888888888,0.7962962962962963,0.8519965277777778,0.04701967592592593,0.04803240740740744,0.10271990740740744,0.4577464788732393,0.02133969907407407,0.4687500000000001,0.3658854166666667,0.9629629629629629,0.05570023148148148,-0.9523809523809524,9,9,True
20,0.7509403935185185,0.7463107638888888,0.49660011574074076,0.7509403935185185,0.7468171296296297,0.7994791666666666,0.8496817129629629,0.04853877314814814,0.05266203703703698,0.09874131944444442,0.4915750915750916,0.023853443287037035,0.36979166666666674,0.34114583333333337,0.9537037037037037,0.050202546296296294,-1.0,9,9,True
21,0.7489872685185185,0.7549913194444444,0.4993489583333333,0.7489872685185185,0.7497829861111112,0.7989728009259259,0.8531539351851852,0.04998553240740744,0.04918981481481477,0.10416666666666674,0.47986111111111107,0.023943865740740755,0.421875,0.359375,0.9537037037037037,0.05418113425925926,-0.9047619047619048,9,9,True
22,0.7520978009259259,0.7432002314814815,0.49117476851851855,0.7432002314814815,0.7544849537037037,0.7991174768518519,0.8499710648148148,0.05591724537037035,0.04463252314814814,0.10677083333333326,0.5237127371273714,0.029224537037037035,0.3789062499999999,0.36328124999999994,0.9629629629629629,0.050853587962962965,-1.0,9,9,True
23,0.7544849537037037,0.7481915509259259,0.5037615740740741,0.7544849537037037,0.7505787037037037,0.7973090277777778,0.8533709490740741,0.04282407407407407,0.04673032407407407,0.09888599537037035,0.43306510607168985,0.018102575231481483,0.39713541666666674,0.34895833333333337,0.9351851851851852,0.05613425925925926,-0.9285714285714287,9,9,True
24,0.7507233796296297,0.7475405092592593,0.4989149305555556,0.7507233796296297,0.7481915509259259,0.7947048611111112,0.8480179398148148,0.04398148148148151,0.04651331018518523,0.09729456018518512,0.4520446096654281,0.01965784143518523,0.31901041666666663,0.35156249999999994,0.9629629629629629,0.053313078703703706,-1.0,9,9,True
25,0.7562934027777778,0.748046875,0.5014467592592593,0.748046875,0.7596209490740741,0.7969473379629629,0.8518518518518519,0.04890046296296291,0.03732638888888884,0.10380497685185186,0.4710801393728217,0.022949218749999944,0.41015625,0.33333333333333337,0.9629629629629629,0.055121527777777776,-0.9523809523809524,9,9,True
26,0.7471788194444444,0.7557146990740741,0.4950086805555556,0.7471788194444444,0.7438512731481481,0.7947771990740741,0.8509114583333334,0.04759837962962965,0.05092592592592593,0.10373263888888895,0.4588563458856345,0.021665219907407413,0.4101562499999999,0.38541666666666663,0.9351851851851852,0.05613425925925926,-1.0,9,9,True
27,0.7520254629629629,0.7472511574074074,0.49558738425925924,0.7520254629629629,0.7502170138888888,0.7991898148148148,0.8485966435185185,0.04716435185185186,0.04897280092592593,0.09657118055555558,0.48838951310861417,0.023021556712962965,0.4179687499999999,0.35416666666666663,0.9537037037037037,0.049406828703703706,-0.9761904761904763,9,9,True
28,0.7538339120370371,0.7471788194444444,0.5037615740740741,0.7538339120370371,0.7497829861111112,0.7964409722222222,0.8470052083333334,0.04260706018518512,0.04665798611111105,0.09317129629629628,0.4572981366459621,0.01931423611111105,0.40364583333333337,0.3385416666666667,0.9537037037037037,0.05056423611111111,-0.9581010095306072,9,9,True
29,0.7546296296296297,0.7406684027777778,0.49146412037037035,0.7546296296296297,0.7403067129629629,0.7948495370370371,0.8453414351851852,0.04021990740740744,0.05454282407407418,0.09071180555555558,0.4433811802232857,0.017541956018518545,0.36067708333333326,0.3450520833333333,0.9444444444444444,0.05049189814814815,-0.9761904761904763,9,9,True
