source_video_id,n_frames,accuracy,n_post_switch_frames,post_switch_accuracy,panel
c19_clip028_video018,64,1.0,0,,natural
c19_clip032_video081,64,1.0,0,,natural
c20_clip009_video008,64,1.0,0,,natural
c20_clip010_video014,64,1.0,0,,natural
c21_clip016_video033,64,1.0,0,,natural
c21_clip020_video073,64,0.09375,0,,natural
c21_clip027_video067,64,0.8125,0,,natural
c21_clip032_video109,64,0.59375,0,,natural
c22_clip007_video005,64,0.90625,0,,natural
c22_clip008_video009,64,1.0,0,,natural
c23_clip019_video032,64,1.0,0,,natural
c23_clip020_video014,64,0.765625,0,,natural
c23_clip023_video020,64,0.640625,0,,natural
c23_clip034_video044,58,1.0,0,,natural
c23_clip041_video006,62,1.0,0,,natural
c24_clip006_video043,64,0.96875,0,,natural
c24_clip009_video041,64,1.0,0,,natural
c24_clip011_video039,64,0.953125,0,,natural
c24_clip016_video053,64,0.90625,0,,natural
c25_clip002_video071,64,1.0,0,,natural
c25_clip005_video044,64,1.0,0,,natural
c25_clip006_video085,64,1.0,0,,natural
c25_clip018_video111,64,0.828125,0,,natural
c26_clip005_video007,64,1.0,0,,natural
c26_clip010_video098,57,1.0,0,,natural
c26_clip011_video014,57,1.0,0,,natural
c26_clip022_video055,64,1.0,0,,natural
c27_clip001_video010,64,0.96875,0,,natural
c27_clip002_video013,64,0.703125,0,,natural
c28_clip000_video102,64,1.0,0,,natural
c28_clip002_video093,64,1.0,0,,natural
c28_clip007_video099,64,1.0,0,,natural
c28_clip015_video098,64,0.9375,0,,natural
c29_clip000_video012,64,0.40625,0,,natural
c29_clip003_video016,64,0.25,0,,natural
c30_clip007_video030,64,0.0,0,,natural
c30_clip010_video016,64,0.3125,0,,natural
c30_clip024_video032,64,0.0,0,,natural
c30_clip026_video018,64,0.078125,0,,natural
c30_clip032_video009,64,0.703125,0,,natural
c31_clip004_video029,64,0.75,0,,natural
c31_clip005_video028,64,1.0,0,,natural
c31_clip015_video016,64,0.984375,0,,natural
c32_clip003_video013,64,0.765625,0,,natural
c32_clip006_video016,64,0.609375,0,,natural
c33_clip010_video136,64,0.78125,0,,natural
c33_clip012_video038,64,0.359375,0,,natural
c33_clip017_video083,64,0.78125,0,,natural
c34_clip001_video057,64,1.0,0,,natural
c34_clip003_video054,64,1.0,0,,natural
c34_clip009_video062,64,0.96875,0,,natural
c34_clip011_video071,64,0.890625,0,,natural
c35_clip000_video011,64,1.0,0,,natural
c35_clip012_video016,64,1.0,0,,natural
c35_clip014_video018,64,1.0,0,,natural
c35_clip020_video033,64,0.703125,0,,natural
c35_clip025_video037,64,0.875,0,,natural
c36_clip004_video051,64,0.984375,0,,natural
c36_clip008_video063,64,1.0,0,,natural
c36_clip021_video038,64,1.0,0,,natural
c36_clip027_video062,64,1.0,0,,natural
c37_clip005_video011,64,1.0,0,,natural
c37_clip013_video007,64,1.0,0,,natural
c38_clip005_video019,64,1.0,0,,natural
c38_clip023_video049,64,0.796875,0,,natural
c38_clip024_video014,64,1.0,0,,natural
c38_clip028_video033,64,1.0,0,,natural
c38_clip032_video015,64,0.703125,0,,natural
c39_clip006_video025,64,1.0,0,,natural
c39_clip012_video003,64,1.0,0,,natural
c40_clip000_video012,64,1.0,0,,natural
c40_clip006_video005,64,0.90625,0,,natural
c40_clip015_video020,64,1.0,0,,natural
c40_clip017_video011,64,1.0,0,,natural
c40_clip025_video025,64,0.609375,0,,natural
c41_clip008_video020,64,0.703125,0,,natural
c41_clip010_video001,64,0.9375,0,,natural
c41_clip013_video009,64,1.0,0,,natural
c41_clip022_video046,64,1.0,0,,natural
c41_clip030_video036,64,0.9375,0,,natural
c41_clip037_video012,64,0.765625,0,,natural
c42_clip001_video158,64,1.0,0,,natural
c42_clip004_video131,64,1.0,0,,natural
c42_clip013_video063,64,0.96875,0,,natural
c42_clip017_video028,64,1.0,0,,natural
c43_clip002_video018,64,0.84375,0,,natural
c43_clip010_video029,64,1.0,0,,natural
c43_clip022_video026,64,1.0,0,,natural
c43_clip024_video003,64,1.0,0,,natural
c44_clip014_video022,64,1.0,0,,natural
c44_clip019_video026,64,0.828125,0,,natural
c44_clip023_video008,64,0.0,0,,natural
c44_clip025_video017,64,0.546875,0,,natural
c45_clip005_video028,64,0.96875,0,,natural
c45_clip011_video011,64,0.8125,0,,natural
c45_clip020_video015,64,0.3125,0,,natural
c45_clip027_video018,64,0.03125,0,,natural
c46_clip008_video011,64,1.0,0,,natural
c46_clip013_video010,64,1.0,0,,natural
c46_clip015_video022,64,1.0,0,,natural
c47_clip000_video001,64,0.296875,0,,natural
c47_clip005_video005,64,0.015625,0,,natural
c47_clip014_video024,64,0.109375,0,,natural
c47_clip021_video026,64,0.9375,0,,natural
c48_clip002_video001,64,1.0,0,,natural
c48_clip011_video015,64,1.0,0,,natural
c48_clip014_video009,64,1.0,0,,natural
c49_clip001_video020,64,1.0,0,,natural
c49_clip010_video008,64,1.0,0,,natural
c49_clip021_video018,64,0.96875,0,,natural
c50_clip003_video022,64,1.0,0,,natural
c50_clip014_video023,64,0.921875,0,,natural
c50_clip023_video021,64,1.0,0,,natural
c50_clip026_video015,64,0.375,0,,natural
c01_clip018_video177,24,1.0,12,1.0,hidden_switch
c03_clip015_video008,24,0.0,12,0.0,hidden_switch
c26_clip022_video055,24,1.0,12,1.0,hidden_switch
c27_clip002_video013,24,0.5833333333333334,12,0.5,hidden_switch
c30_clip007_video030,24,0.0,12,0.0,hidden_switch
c35_clip020_video033,24,0.9583333333333334,0,,hidden_switch
c05_clip012_video140,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c08_clip020_video077,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c12_clip020_video113,24,0.2916666666666667,12,0.0,hidden_switch
c15_clip008_video043,24,1.0,0,,hidden_switch
c21_clip016_video033,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c50_clip023_video021,24,1.0,12,1.0,hidden_switch
c01_clip003_video164,24,1.0,12,1.0,hidden_switch
c01_clip023_video198,24,0.6666666666666666,12,0.5833333333333334,hidden_switch
c08_clip014_video171,24,0.3333333333333333,12,0.25,hidden_switch
c09_clip013_video057,24,0.3333333333333333,0,,hidden_switch
c13_clip001_video111,24,1.0,12,1.0,hidden_switch
c25_clip002_video071,24,1.0,12,1.0,hidden_switch
c19_clip018_video022,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c23_clip023_video020,24,1.0,12,1.0,hidden_switch
c33_clip010_video136,24,1.0,12,1.0,hidden_switch
c38_clip024_video014,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c41_clip013_video009,24,1.0,12,1.0,hidden_switch
c42_clip013_video063,24,1.0,0,,hidden_switch
c07_clip024_video083,24,1.0,12,1.0,hidden_switch
c09_clip009_video005,24,0.0,12,0.0,hidden_switch
c20_clip010_video014,24,1.0,12,1.0,hidden_switch
c40_clip015_video020,24,1.0,12,1.0,hidden_switch
c44_clip019_video026,24,1.0,0,,hidden_switch
c46_clip008_video011,24,1.0,12,1.0,hidden_switch
c05_clip029_video068,24,1.0,12,1.0,hidden_switch
c07_clip013_video067,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c30_clip026_video018,24,0.0,12,0.0,hidden_switch
c44_clip025_video017,24,0.5416666666666666,0,,hidden_switch
c45_clip005_video028,24,0.75,12,0.5833333333333334,hidden_switch
c50_clip026_video015,24,0.5416666666666666,12,0.5833333333333334,hidden_switch
c03_clip007_video101,24,0.8333333333333334,12,0.6666666666666666,hidden_switch
c30_clip010_video016,24,0.20833333333333334,0,,hidden_switch
c41_clip037_video012,24,0.5416666666666666,12,0.75,hidden_switch
c42_clip001_video158,24,1.0,12,1.0,hidden_switch
c43_clip010_video029,24,1.0,12,1.0,hidden_switch
c43_clip024_video003,24,0.7916666666666666,12,0.9166666666666666,hidden_switch
c06_clip002_video216,24,1.0,12,1.0,hidden_switch
c10_clip002_video021,24,0.125,12,0.25,hidden_switch
c28_clip015_video098,24,1.0,0,,hidden_switch
c35_clip025_video037,24,0.9166666666666666,12,1.0,hidden_switch
c41_clip022_video046,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c47_clip005_video005,24,0.0,12,0.0,hidden_switch
c05_clip040_video087,24,1.0,12,1.0,hidden_switch
c08_clip010_video152,24,0.0,0,,hidden_switch
c16_clip007_video001,24,1.0,12,1.0,hidden_switch
c36_clip008_video063,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c41_clip030_video036,24,0.5833333333333334,12,0.5833333333333334,hidden_switch
c47_clip000_video001,24,0.2916666666666667,12,0.0,hidden_switch
c03_clip000_video095,24,0.625,12,1.0,hidden_switch
c22_clip008_video009,24,1.0,12,1.0,hidden_switch
c24_clip011_video039,24,0.75,12,0.6666666666666666,hidden_switch
c26_clip011_video014,24,1.0,0,,hidden_switch
c28_clip007_video099,24,1.0,12,1.0,hidden_switch
c48_clip014_video009,24,1.0,12,1.0,hidden_switch
c24_clip006_video043,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c26_clip010_video098,24,1.0,12,1.0,hidden_switch
c32_clip003_video013,24,1.0,0,,hidden_switch
c34_clip009_video062,24,1.0,12,1.0,hidden_switch
c36_clip027_video062,24,1.0,12,1.0,hidden_switch
c38_clip028_video033,24,0.7916666666666666,12,0.6666666666666666,hidden_switch
c19_clip028_video018,24,1.0,12,1.0,hidden_switch
c21_clip027_video067,24,0.5,12,0.9166666666666666,hidden_switch
c25_clip006_video085,24,1.0,12,1.0,hidden_switch
c38_clip023_video049,24,0.7083333333333334,12,0.5,hidden_switch
c44_clip023_video008,24,0.0,0,,hidden_switch
c49_clip021_video018,24,1.0,12,1.0,hidden_switch
c10_clip001_video005,24,1.0,12,1.0,hidden_switch
c14_clip004_video005,24,0.8333333333333334,12,0.6666666666666666,hidden_switch
c22_clip007_video005,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c41_clip008_video020,24,0.5416666666666666,12,0.5833333333333334,hidden_switch
c43_clip002_video018,24,0.9166666666666666,0,,hidden_switch
c46_clip015_video022,24,1.0,12,1.0,hidden_switch
c00_clip004_video068,24,1.0,12,1.0,hidden_switch
c14_clip018_video062,24,0.2916666666666667,12,0.0,hidden_switch
c17_clip002_video004,24,1.0,12,1.0,hidden_switch
c31_clip015_video016,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c37_clip013_video007,24,1.0,0,,hidden_switch
c50_clip003_video022,24,1.0,12,1.0,hidden_switch
c12_clip004_video103,24,1.0,12,1.0,hidden_switch
c13_clip003_video021,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c15_clip003_video065,24,1.0,12,1.0,hidden_switch
c18_clip013_video006,24,1.0,12,1.0,hidden_switch
c23_clip041_video006,24,1.0,12,1.0,hidden_switch
c44_clip014_video022,24,1.0,0,,hidden_switch
c01_clip017_video218,24,0.0,0,,hidden_switch
c24_clip016_video053,24,0.75,12,0.9166666666666666,hidden_switch
c26_clip005_video007,24,1.0,12,1.0,hidden_switch
c30_clip032_video009,24,0.6666666666666666,12,0.6666666666666666,hidden_switch
c33_clip012_video038,24,0.20833333333333334,12,0.4166666666666667,hidden_switch
c39_clip012_video003,24,1.0,12,1.0,hidden_switch
c03_clip006_video104,24,0.5,12,0.3333333333333333,hidden_switch
c10_clip007_video007,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c30_clip024_video032,24,0.0,12,0.0,hidden_switch
c34_clip001_video057,24,1.0,12,1.0,hidden_switch
c34_clip011_video071,24,0.625,12,0.4166666666666667,hidden_switch
c49_clip001_video020,24,1.0,0,,hidden_switch
c02_clip004_video163,24,0.0,12,0.0,hidden_switch
c25_clip018_video111,24,1.0,0,,hidden_switch
c28_clip002_video093,24,1.0,12,1.0,hidden_switch
c31_clip004_video029,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c40_clip025_video025,24,0.375,12,0.0,hidden_switch
c41_clip010_video001,24,0.7916666666666666,12,0.6666666666666666,hidden_switch
c04_clip001_video010,24,1.0,12,1.0,hidden_switch
c19_clip025_video079,24,1.0,12,1.0,hidden_switch
c23_clip034_video044,24,1.0,0,,hidden_switch
c34_clip003_video054,24,1.0,12,1.0,hidden_switch
c35_clip014_video018,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c42_clip004_video131,24,0.9166666666666666,12,1.0,hidden_switch
c05_clip026_video165,24,1.0,12,1.0,hidden_switch
c06_clip012_video082,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c23_clip020_video014,24,0.5,12,0.5833333333333334,hidden_switch
c40_clip000_video012,24,1.0,0,,hidden_switch
c40_clip017_video011,24,1.0,12,1.0,hidden_switch
c47_clip021_video026,24,0.7916666666666666,12,0.6666666666666666,hidden_switch
c02_clip022_video152,24,1.0,0,,hidden_switch
c28_clip000_video102,24,1.0,12,1.0,hidden_switch
c29_clip003_video016,24,0.375,12,0.08333333333333333,hidden_switch
c32_clip006_video016,24,0.75,12,0.5833333333333334,hidden_switch
c35_clip012_video016,24,1.0,12,1.0,hidden_switch
c49_clip010_video008,24,1.0,12,1.0,hidden_switch
c17_clip014_video005,24,1.0,12,1.0,hidden_switch
c19_clip032_video081,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c29_clip000_video012,24,0.2916666666666667,12,0.08333333333333333,hidden_switch
c36_clip021_video038,24,1.0,0,,hidden_switch
c45_clip027_video018,24,0.0,12,0.0,hidden_switch
c50_clip014_video023,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c00_clip011_video045,24,1.0,12,1.0,hidden_switch
c04_clip003_video033,24,1.0,12,1.0,hidden_switch
c07_clip000_video029,24,0.0,12,0.0,hidden_switch
c12_clip016_video093,24,0.0,0,,hidden_switch
c27_clip001_video010,24,0.75,12,0.9166666666666666,hidden_switch
c48_clip011_video015,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c06_clip007_video045,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c24_clip009_video041,24,1.0,12,1.0,hidden_switch
c33_clip017_video083,24,0.7083333333333334,12,0.4166666666666667,hidden_switch
c37_clip005_video011,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c38_clip032_video015,24,0.6666666666666666,12,0.75,hidden_switch
c40_clip006_video005,24,0.9166666666666666,0,,hidden_switch
c07_clip012_video077,24,0.375,12,0.5833333333333334,hidden_switch
c19_clip013_video095,24,1.0,0,,hidden_switch
c21_clip020_video073,24,0.25,12,0.08333333333333333,hidden_switch
c38_clip005_video019,24,1.0,12,1.0,hidden_switch
c42_clip017_video028,24,1.0,12,1.0,hidden_switch
c48_clip002_video001,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c17_clip007_video117,24,0.8333333333333334,12,0.6666666666666666,hidden_switch
c25_clip005_video044,24,1.0,12,1.0,hidden_switch
c35_clip000_video011,24,1.0,12,1.0,hidden_switch
c39_clip006_video025,24,1.0,0,,hidden_switch
c43_clip022_video026,24,0.9166666666666666,12,0.9166666666666666,hidden_switch
c45_clip011_video011,24,0.5,12,0.8333333333333334,hidden_switch
c11_clip010_video039,24,0.3333333333333333,12,0.25,hidden_switch
c16_clip006_video007,24,0.08333333333333333,12,0.0,hidden_switch
c17_clip006_video112,24,0.9583333333333334,12,0.9166666666666666,hidden_switch
c20_clip009_video008,24,0.7916666666666666,12,0.9166666666666666,hidden_switch
c23_clip019_video032,24,1.0,12,1.0,hidden_switch
c31_clip005_video028,24,1.0,0,,hidden_switch
c11_clip003_video065,24,0.4583333333333333,12,0.4166666666666667,hidden_switch
c13_clip000_video112,24,1.0,12,1.0,hidden_switch
c36_clip004_video051,24,0.7916666666666666,12,0.5833333333333334,hidden_switch
c45_clip020_video015,24,0.375,12,0.6666666666666666,hidden_switch
c46_clip013_video010,24,1.0,0,,hidden_switch
c47_clip014_video024,24,0.041666666666666664,12,0.08333333333333333,hidden_switch
c00_clip002_video203,24,1.0,12,1.0,hidden_switch
c02_clip024_video128,24,0.5833333333333334,12,0.4166666666666667,hidden_switch
c06_clip004_video176,24,0.875,12,0.75,hidden_switch
c08_clip005_video145,24,0.9166666666666666,12,0.8333333333333334,hidden_switch
c18_clip014_video066,24,1.0,0,,hidden_switch
c21_clip032_video109,24,0.9166666666666666,12,0.9166666666666666,hidden_switch
