candidate_index,retention_floor,retention_ceiling,bias,surprise_weight,entropy_weight,disagreement_weight,fast_retention,slow_retention,evidence_weight_floor,epsilon,natural_accuracy,natural_accuracy_loss,hidden_accuracy,post_switch_accuracy,reachability_auc,reachability_recall,false_alarms_per_1000,median_delay,mean_retention,eligible,selected
805,0.7,0.97,0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7831765627169865,-0.02989018827331813,0.7182539682539684,0.6707650273224043,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.8199369890471627,True,False
806,0.7,0.97,0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7822325276955706,-0.028946153251902196,0.7120181405895691,0.6564207650273225,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.8187570397236279,False,False
807,0.7,0.97,0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7821759099306195,-0.028889535486951057,0.7083333333333334,0.648224043715847,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.8186722275114172,True,False
808,0.7,0.97,-0.0,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7827598411351595,-0.02947346669149109,0.6924603174603174,0.6086065573770493,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.8347975282773508,True,False
809,0.7,0.97,-0.0,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7841032044174377,-0.030816829973769333,0.7120181405895692,0.6543715846994537,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.835870358838617,True,False
810,0.7,0.97,-0.0,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7836017327850138,-0.030315358341345355,0.7052154195011339,0.6372950819672131,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.8350407889228703,True,False
811,0.7,0.97,-0.0,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7837080253020206,-0.030421650858352134,0.7029478458049887,0.6325136612021859,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.8350131360931627,True,False
812,0.7,0.97,-0.25,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7844573004219046,-0.03117092597823623,0.683390022675737,0.5833333333333334,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.8507006584884933,True,False
813,0.7,0.97,-0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7870240678696244,-0.033737693425956006,0.7069160997732425,0.6386612021857924,0.8200487754352596,0.36885245901639346,6.255585344057194,0.0,0.8517121662509616,True,False
814,0.7,0.97,-0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7849516858865282,-0.03166531144285978,0.6984126984126984,0.6181693989071039,0.7368090426912849,0.6475409836065574,20.879031602892194,1.0,0.8513196903062119,True,False
815,0.7,0.97,-0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.784643115488672,-0.03135674104500363,0.6952947845804989,0.6113387978142076,0.6894843605185317,0.6721311475409836,26.728410106426193,1.0,0.8513525409918513,True,False
816,0.7,0.97,-0.5,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7856246594420153,-0.0323382849983469,0.6712018140589568,0.5525956284153005,0.5005656390106631,0.32786885245901637,26.89089284263547,3.0,0.8662023649604673,True,False
817,0.7,0.97,-0.5,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7886026370077174,-0.03531626256404896,0.7009637188208616,0.619535519125683,0.8200487754352596,0.6557377049180327,3.493378828499472,1.0,0.8670548162511447,True,False
818,0.7,0.97,-0.5,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.787134013183512,-0.03384763873984353,0.6882086167800453,0.5922131147540983,0.7368090426912849,0.6475409836065574,9.180274595824194,2.0,0.867139469621757,True,False
819,0.7,0.97,-0.5,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7865780711097127,-0.03329169666604426,0.685374149659864,0.5846994535519126,0.6894843605185317,0.5327868852459017,11.536274270858721,3.0,0.8672300310876118,True,False
820,0.7,0.97,1.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7779028768226918,-0.024616502379023353,0.7140022675736961,0.6687158469945355,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.7807684905089477,True,False
821,0.7,0.97,1.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7795999782221741,-0.026313603778505668,0.7276077097505669,0.6967213114754098,0.8200487754352596,0.0,0.0,,0.7837689741206252,False,False
822,0.7,0.97,1.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7790245934519271,-0.025738219008258678,0.7225056689342404,0.6885245901639344,0.7368090426912849,0.00819672131147541,6.824274920789666,0.0,0.7781003055425898,False,False
823,0.7,0.97,1.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7787978360823126,-0.02551146163864415,0.7213718820861678,0.6857923497267759,0.6894843605185317,0.00819672131147541,6.49930944837111,0.0,0.7775253353518238,False,False
824,0.7,0.97,0.5,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7802982449890448,-0.02701187054537635,0.7006802721088435,0.6331967213114755,0.5005656390106631,0.4672131147540984,33.715167763425136,2.0,0.8063311078793152,True,False
825,0.7,0.97,0.5,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.782021801328521,-0.028735426884852533,0.7242063492063493,0.6885245901639343,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.8113673654112682,True,False
826,0.7,0.97,0.5,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7807470068989647,-0.027460632455296285,0.7193877551020408,0.6769125683060109,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.8054369045361908,False,False
827,0.7,0.97,0.5,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7796774513964518,-0.02639107695278342,0.7159863945578231,0.671448087431694,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.8049869523226963,True,False
828,0.7,0.97,-0.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7812452170328161,-0.027958842589147714,0.6856575963718822,0.5956284153005464,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.8341400938105927,True,False
829,0.7,0.97,-0.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7855236589628922,-0.03223728451922381,0.719954648526077,0.6728142076502732,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.8399907213161563,True,False
830,0.7,0.97,-0.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7829639776829729,-0.029677603239304462,0.7086167800453514,0.6489071038251366,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.8352990667916333,True,False
831,0.7,0.97,-0.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7823365297340964,-0.02905015529042798,0.7043650793650793,0.6400273224043715,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.8350899358873297,True,False
832,0.7,0.97,-0.5,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7849106027755778,-0.031624228331909365,0.6660997732426304,0.5457650273224043,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.8621129420310715,True,False
833,0.7,0.97,-0.5,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7896643905679044,-0.03637801612423597,0.7131519274376416,0.6530054644808744,0.8200487754352596,0.36885245901639346,6.255585344057194,0.0,0.8671115651864634,True,False
834,0.7,0.97,-0.5,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7862539660578559,-0.0329675916141875,0.695294784580499,0.6113387978142076,0.7368090426912849,0.6475409836065574,20.879031602892194,1.0,0.8650414615774915,True,False
835,0.7,0.97,-0.5,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7857328106259862,-0.032446436182317795,0.6890589569160998,0.5997267759562842,0.6894843605185317,0.6721311475409836,26.728410106426193,1.0,0.8651588331716638,True,False
836,0.7,0.97,-1.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7871395246473567,-0.03385315020368829,0.6403061224489796,0.4795081967213115,0.5005656390106631,0.32786885245901637,26.89089284263547,3.0,0.8881183475053198,True,False
837,0.7,0.97,-1.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.791985148658081,-0.03869877421441259,0.7003968253968255,0.6181693989071039,0.8200487754352596,0.6557377049180327,3.493378828499472,1.0,0.8910337846506139,True,False
838,0.7,0.97,-1.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.789417262341761,-0.0361308878980926,0.6794217687074829,0.5689890710382512,0.7368090426912849,0.6475409836065574,9.180274595824194,2.0,0.8921059588378545,True,False
839,0.7,0.97,-1.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7891212895755502,-0.03583491513188175,0.6700680272108843,0.5491803278688525,0.6894843605185317,0.5327868852459017,11.536274270858721,3.0,0.8925424253426218,True,False
840,0.7,0.97,2.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7757479660368285,-0.02246159159316008,0.7174036281179138,0.6782786885245902,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.7576014919063452,True,False
841,0.7,0.97,2.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7782652018873978,-0.024978827443729368,0.7335600907029479,0.7151639344262295,0.8200487754352596,0.0,0.0,,0.7596054598536818,False,False
