seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,posterior_ema,qualification_hidden,c34_clip003_video054,24,1.0,0.055096856182852066,0.10462746710449895
13800,posterior_ema,qualification_hidden,c28_clip002_video093,24,0.9583333333333334,0.06143212266187159,0.10676681342693083
13800,posterior_ema,qualification_hidden,c23_clip020_video014,24,0.5416666666666666,0.8908697605959128,0.5067429022554862
13800,posterior_ema,qualification_hidden,c05_clip012_video140,24,1.0,0.09428308391627642,0.11679393534198253
13800,posterior_ema,qualification_hidden,c45_clip011_video011,24,0.9166666666666666,0.806292567764818,0.9394425245528888
13800,posterior_ema,qualification_hidden,c37_clip005_video011,24,1.0,0.0009485733687546978,
13800,posterior_ema,qualification_hidden,c08_clip010_video152,24,0.08333333333333333,2.768599554506924,2.9189922725776083
13800,posterior_ema,qualification_hidden,c30_clip010_video016,24,0.5,1.1674825135664209,0.8776714866723453
13800,posterior_ema,qualification_hidden,c32_clip006_video016,24,1.0,0.6888482731338642,0.6568125073126078
13800,posterior_ema,qualification_hidden,c40_clip025_video025,24,0.75,1.3451410926331082,1.4923248453358513
13800,posterior_ema,qualification_hidden,c35_clip012_video016,24,1.0,0.05261453140736999,0.10439288664333322
13800,posterior_ema,qualification_hidden,c41_clip010_video001,24,1.0,0.295590686593124,
13800,posterior_ema,qualification_hidden,c33_clip010_video136,24,0.9583333333333334,0.28073764027442444,0.49754876609115745
13800,posterior_ema,qualification_hidden,c30_clip007_video030,24,0.0,3.357862141591441,3.2297339932826605
13800,posterior_ema,qualification_hidden,c35_clip025_video037,24,1.0,0.5638121436087475,0.8691007552453357
13800,posterior_ema,qualification_hidden,c25_clip018_video111,24,0.5,1.848114424630168,1.2383425193698647
13800,posterior_ema,qualification_hidden,c45_clip005_video028,24,0.875,1.144225933817024,1.1061045897065513
13800,posterior_ema,qualification_hidden,c10_clip002_video021,24,0.125,1.7870927635862959,
13800,posterior_ema,qualification_hidden,c26_clip022_video055,24,1.0,0.12660432952320594,0.15770625922144407
13800,posterior_ema,qualification_hidden,c31_clip015_video016,24,0.9583333333333334,0.3234026380321123,0.5150379033863707
13800,posterior_ema,qualification_hidden,c50_clip026_video015,24,0.08333333333333333,2.150966517107951,1.9844700709678884
13800,posterior_ema,qualification_hidden,c01_clip017_video218,24,0.0,5.615088964327097,6.33911602515247
13800,posterior_ema,qualification_hidden,c09_clip013_video057,24,0.375,2.1262462102834303,3.357579329504793
13800,posterior_ema,qualification_hidden,c31_clip005_video028,24,0.9583333333333334,0.3889472970522026,
13800,posterior_ema,qualification_hidden,c38_clip023_video049,24,0.9166666666666666,1.1176133058286162,1.2049872372600978
13800,posterior_ema,qualification_hidden,c05_clip040_video087,24,1.0,0.3894366878975191,0.576100673392599
13800,posterior_ema,qualification_hidden,c35_clip020_video033,24,0.7083333333333334,1.4972243772058687,0.3934896196583035
13800,posterior_ema,qualification_hidden,c30_clip032_video009,24,0.6666666666666666,1.4195969949786393,1.5608622387155995
13800,posterior_ema,qualification_hidden,c28_clip007_video099,24,1.0,0.05275376060385708,0.10437250134425446
13800,posterior_ema,qualification_hidden,c09_clip009_video005,24,0.0,2.1981971408864127,
13800,posterior_ema,qualification_hidden,c06_clip002_video216,24,1.0,0.27534691088983715,0.31100392915686254
13800,posterior_ema,qualification_hidden,c01_clip003_video164,24,1.0,0.1409759528055129,0.18402192675256387
13800,posterior_ema,qualification_hidden,c11_clip003_video065,24,0.3333333333333333,1.502328114600533,2.2929598160475493
13800,posterior_ema,qualification_hidden,c43_clip010_video029,24,1.0,0.11631887921350459,0.17871645770266145
13800,posterior_ema,qualification_hidden,c48_clip014_video009,24,0.9166666666666666,0.4904431480040567,0.36683025335143443
13800,posterior_ema,qualification_hidden,c27_clip002_video013,24,0.5,1.7454695887096061,
13800,posterior_ema,qualification_hidden,c29_clip000_video012,24,0.2916666666666667,1.56725412546918,1.6115113456338328
13800,posterior_ema,qualification_hidden,c20_clip010_video014,24,1.0,0.1270940850474279,0.10780137736707048
13800,posterior_ema,qualification_hidden,c39_clip012_video003,24,0.9583333333333334,0.43140878498116164,0.20112467785926222
13800,posterior_ema,qualification_hidden,c04_clip003_video033,24,1.0,0.051819862307850025,0.10358453878245645
13800,posterior_ema,qualification_hidden,c08_clip020_video077,24,0.9583333333333334,0.13284252379299596,0.19201694016830792
13800,posterior_ema,qualification_hidden,c40_clip015_video020,24,1.0,0.1701930072875059,
13800,posterior_ema,qualification_hidden,c17_clip002_video004,24,1.0,0.09173914455226374,0.1511808115816179
13800,posterior_ema,qualification_hidden,c34_clip001_video057,24,1.0,0.10010155886449552,0.11908318790493695
13800,posterior_ema,qualification_hidden,c14_clip004_video005,24,0.9583333333333334,0.5407571083100883,0.42897282656714036
13800,posterior_ema,qualification_hidden,c43_clip002_video018,24,0.625,1.472437220248496,1.3943869225980023
13800,posterior_ema,qualification_hidden,c10_clip001_video005,24,1.0,0.6025744712553042,0.532043383182171
13800,posterior_ema,qualification_hidden,c47_clip021_video026,24,0.9166666666666666,0.6981065133153491,
13800,posterior_ema,qualification_hidden,c35_clip014_video018,24,1.0,0.07161230406708614,0.12935154934158394
13800,posterior_ema,qualification_hidden,c41_clip037_video012,24,0.9583333333333334,0.38372558496231396,0.45763383914294803
13800,posterior_ema,qualification_hidden,c42_clip013_video063,24,0.9583333333333334,0.4921512921379437,0.5858218096842266
13800,posterior_ema,qualification_hidden,c03_clip007_video101,24,0.5416666666666666,1.2471056934541873,1.3326560393695897
13800,posterior_ema,qualification_hidden,c30_clip026_video018,24,0.0,3.2376005845856226,3.140330477711791
13800,posterior_ema,qualification_hidden,c08_clip005_video145,24,0.16666666666666666,1.6728023402297685,
13800,posterior_ema,qualification_hidden,c40_clip000_video012,24,1.0,0.5655593357868324,0.713097720530846
13800,posterior_ema,qualification_hidden,c19_clip028_video018,24,1.0,0.06563006591085581,0.12061169648551413
13800,posterior_ema,qualification_hidden,c03_clip006_video104,24,0.375,1.6975811631050668,2.0244866561471455
13800,posterior_ema,qualification_hidden,c06_clip007_video045,24,0.9583333333333334,1.231302689095658,1.4005751056500637
13800,posterior_ema,qualification_hidden,c40_clip017_video011,24,1.0,0.3927617206968487,0.4606577929777888
13800,posterior_ema,qualification_hidden,c10_clip007_video007,24,1.0,0.668491970221544,
13800,posterior_ema,qualification_hidden,c26_clip010_video098,24,0.9583333333333334,0.4021048030804966,0.7147016815816306
