user_id,task_index,n_classes,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,n_excluded_query_videos,excluded_query_video_ids,seed
P204,23,9,0.5412151067323481,0.5890311986863711,0.047816091954023,0.339376026272578,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,24,9,0.5408866995073892,0.5871264367816091,0.0462397372742199,0.3379310344827586,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,25,9,0.5412807881773399,0.5892282430213465,0.0479474548440065,0.3385878489326765,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,26,9,0.5400985221674877,0.5885057471264368,0.0484072249589491,0.3379967159277504,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,27,9,0.5395073891625616,0.5869293924466338,0.0474220032840722,0.3378653530377668,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,28,9,0.5407553366174056,0.5879146141215107,0.047159277504105,0.338128078817734,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,29,9,0.540623973727422,0.5879802955665024,0.0473563218390804,0.3366174055829228,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,30,9,0.5408210180623974,0.5887027914614121,0.0478817733990147,0.3371428571428571,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,31,9,0.5402298850574713,0.588768472906404,0.0485385878489327,0.3376026272577996,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,32,9,0.5397044334975369,0.588111658456486,0.0484072249589491,0.3383251231527093,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,33,9,0.5404926108374384,0.5885714285714285,0.0480788177339901,0.3362233169129721,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,34,9,0.5408210180623974,0.5888998357963875,0.0480788177339901,0.3379310344827586,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,35,9,0.540623973727422,0.5877175697865353,0.0470935960591133,0.3369458128078818,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,36,9,0.539967159277504,0.5873891625615764,0.0474220032840723,0.336551724137931,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,37,9,0.5382594417077176,0.5866666666666667,0.0484072249589491,0.3363546798029557,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
