user_id,condition,user_video_mean_accuracy
P642,delta,0.7241202237769936
P642,gain,0.855384943472281
P642,instantaneous_majority,0.8165016162500527
P642,memoryless_consensus,0.8201027950701455
P642,oracle_per_frame,0.8856332461525656
P642,prototype,0.8030576388125656
P642,selection_fixed_best,0.855384943472281
P642,temporal,0.8201027950701455
P753,causal_consensus,0.7476168
P753,delayed_consensus,0.7438016
P753,delta,0.6941848
P753,gain,0.7191072000000001
P753,instantaneous_majority,0.7258032
P753,memoryless_consensus,0.7248775999999999
P753,oracle_per_frame,0.8155296
P753,prototype,0.7262344
P753,selection_fixed_best,0.7191072000000001
P753,temporal,0.7248775999999999
P900,causal_consensus,0.7492675
P900,delayed_consensus,0.7491774999999999
P900,delta,0.601925
P900,gain,0.7090500000000001
P900,instantaneous_majority,0.7264700000000001
P900,memoryless_consensus,0.750925
P900,oracle_per_frame,0.8105375
P900,prototype,0.706525
P900,selection_fixed_best,0.7090500000000001
P900,temporal,0.750925
P901,causal_consensus,0.7228844632290785
P901,delayed_consensus,0.7093540023995855
P901,delta,0.6475239644970414
P901,gain,0.646875435606577
P901,instantaneous_majority,0.6577281944482316
P901,memoryless_consensus,0.6564171350857579
P901,oracle_per_frame,0.7648818216398985
P901,prototype,0.641383471763968
P901,selection_fixed_best,0.646875435606577
P901,temporal,0.6564171350857579
P953,causal_consensus,0.6910276923076923
P953,delayed_consensus,0.6795646153846153
P953,delta,0.6060446153846154
P953,gain,0.6609461538461538
P953,instantaneous_majority,0.6374661538461538
P953,memoryless_consensus,0.6371092307692308
P953,oracle_per_frame,0.71158
P953,prototype,0.6273846153846154
P953,selection_fixed_best,0.6609461538461538
P953,temporal,0.6371092307692308
P999,causal_consensus,0.539529090909091
P999,delayed_consensus,0.5308054545454546
P999,delta,0.4172218181818182
P999,gain,0.45815090909090905
P999,instantaneous_majority,0.49828545454545453
P999,memoryless_consensus,0.5155727272727273
P999,oracle_per_frame,0.5833363636363635
P999,prototype,0.48098363636363634
P999,selection_fixed_best,0.45815090909090905
P999,temporal,0.5155727272727273
