participant_id,fold,method,candidate_id,response_sigma,conditional_update_nll,conditional_update_mse,free_run_bucket_mse,early_update_nll,late_update_nll
116,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.059507658705557,26.310122184620408,31.686386007343454,3.1509590903310345,3.0297649018443455
118,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.698184252572238,4.145336290742858,5.268354790097688,2.6850806997781884,2.6996691846164356
125,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.750296225674376,7.342058968293876,8.668987238686226,2.6895279252388304,2.7437549353486763
132,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.0704999047378045,26.98442331115102,37.820929667437696,3.373426530383149,2.978487117986778
133,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.856920146454465,13.882726788702039,17.341619568648213,2.831916574297628,2.9566068108700625
145,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.807745975320908,10.866218707069388,14.441163720276782,2.7181031083623624,2.828958496870843
155,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9118739116406442,17.253774494824487,14.372526026896288,2.8425100731300943,2.924225462874046
157,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.1681714893148545,32.97592489482449,38.67059594781071,3.55546376220247,3.1881851882492587
163,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.7942914032212536,10.04087026625306,9.528017273670594,2.879399732268967,2.742363861520036
180,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.2643776477619477,38.87753233972244,43.88185014325761,3.523482095060415,3.4611671280409544
181,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.698895247797639,4.188951115232653,4.711723834946331,2.6809956899819563,2.701044744455417
182,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.753118860706959,68.85855255196735,51.36517632224468,4.247523831813818,3.74216739044486
184,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.6477558308503957,62.395231996865306,69.79825342366249,3.52191821813109,3.5958949439668046
185,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.2207621150845003,36.20200972747756,39.919560109884095,3.6017034431250643,3.1043966966392653
201,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.7375567326056416,6.560575866253061,6.451589454310013,2.7069342251790642,2.7282816660002434
210,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.420402150282401,48.448597025436726,68.03081700765877,3.5658696742601763,3.4888061196150177
216,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.867952110582741,14.55946435604898,19.34613592039514,2.9691628209227163,2.753726987783004
218,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.7498138980077367,7.312471376457145,10.48747523226848,2.789104598277864,2.7346189481970002
5,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,4.3597636788308645,108.60221303965561,96.78196774541382,3.6462678847349252,5.101366378787449
17,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.7490220835982955,6.455774825369898,8.232427643266025,2.7602419810253807,2.717241154596782
19,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8283494684738133,11.486382988635205,13.154735599284384,3.0100388722046922,2.7660987302126157
23,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.8284167700977023,74.90643319271683,90.42207133753332,3.6370181920011078,3.9701758672943215
26,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9720222703133707,20.597506100880107,25.479958148716435,3.1413930274091326,2.902872882821066
30,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.0171925307395333,23.462013498839287,29.651713154520337,3.072403359586474,2.9631577695831672
32,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9825028664808486,21.262141304961734,22.82927544009425,2.9141810188865525,2.9798609085800614
37,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.873699385459051,14.362283447818875,14.906542721454214,2.772793596288151,2.8910221991473204
46,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.036710385076273,24.699753498839286,33.13603119159958,3.233408355389358,2.9476584831183836
50,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.874014000053623,14.382234978431121,14.328141095601456,2.9719664095539327,2.790960569723738
52,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8999824455744596,16.029044264145405,14.751857390478163,3.102559945740327,2.78793816949002
58,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.7333933749230277,5.464668039655612,6.644581667017127,2.7442711301652105,2.697156672778008
61,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8955742851923905,15.749497325369898,18.393544044672563,2.878379875692244,2.9182288413999204
63,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.922398107495743,17.450550998839283,20.951229709499728,2.907948000288197,2.937412329049724
69,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9867850981576725,21.53370237639031,22.97491651480095,3.2830794765169684,2.8726153695040355
79,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.851687386009993,12.96637528455357,12.678981785282158,2.737586871370824,2.9537995391989558
90,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8284126826354923,11.49039176414541,11.558183852629128,2.81450879962454,2.802039397034804
99,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9307733089108376,17.98167094781888,16.698842117045533,2.93045360457251,2.971824062590521
103,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.796257182015015,9.451225539655614,11.77343360565329,2.79498749583102,2.8098997491042446
104,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.3228997590012153,42.84867650904337,52.19610906828846,3.1227793013192398,3.1261868967695743
105,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8987551863762353,15.951216662104594,21.230144779854374,3.088656529758549,2.8262036696556008
108,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,4.043110336632525,88.52139365190051,103.97552940478283,3.9680445432573164,4.126657728398503
113,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.172416222576169,33.305645335573985,41.67884079387028,3.349900366392126,3.1183869220205107
120,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.774429966445862,8.06703559067602,11.14679226048694,2.7302064727756603,2.7474050831657832
126,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8745361210955327,14.41534569271684,21.89110973963946,2.8891049897916274,2.797612496266937
130,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.1821268219499306,33.92145059067602,41.935502893927676,3.306342151806638,3.0146793173063973
131,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8434922683636636,12.446675488635204,14.351848831788843,2.855356423187017,2.779073246905623
134,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9847086160882843,21.40202064169643,22.057549811661133,3.17730931544191,2.8677791916746576
136,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.4274274752228315,49.47738339679847,53.14379918014031,3.1744547697173937,3.648588753465371
142,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.1178012489162708,29.842194060063775,39.68440528692951,2.988205908050446,3.324154442240407
143,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9716480997915182,20.57377778455357,21.85755278752364,3.2581760858350206,2.807377435345696
144,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.7851062149974233,8.744078243737247,12.639361738066038,2.7651947780896124,2.770936071001709
152,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.0853938257177225,27.787051968227036,27.40370274111969,2.9920494859654583,3.0129561204746897
156,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8837799395754153,15.001549672308675,16.041478219745766,2.855901401878294,2.808743678447466
160,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.7722073859029495,7.92608890700255,8.411859058493809,2.7279841592589174,2.7871011794988414
165,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9968498688470677,22.171967682512758,25.739425329022318,2.9706719683733986,3.091382321350489
171,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9152837466960237,16.999388243737243,19.898890943352935,2.8550347169920265,2.903628757357699
174,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.2729520431715606,39.68120303965561,41.38870080904563,3.3448416887447805,3.341769560447781
179,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.7795207676874596,8.389872733533162,8.058951397808903,2.768299454766472,2.7884146774497522
183,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.4188725013951857,48.93486303965562,57.62192578863051,3.586863551646469,3.5470155641958656
194,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.1236110287818217,30.210625794757654,35.43102399808926,3.156400080333499,3.042420110898219
202,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.9230696956118876,17.49314028455357,18.991222194016114,2.946339054767254,2.8994860090416266
205,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,3.041814079844255,25.02340829475765,30.176975705355506,3.2709009505573987,2.9452175804821032
207,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.8012286195816487,9.76649314169643,11.481343791985415,2.8295955842785028,2.7131504930781034
221,1,fixed_gain,fixed_gain:51c258c93a20,5.630976035242829,2.736688777154014,5.673648549859694,7.069337714484405,2.727602132905977,2.745393756165832
1,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.9217731960035445,17.856983447818877,20.74924474606775,2.787197578860728,3.0072963583161902
4,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.9440489980973545,19.223887070267857,21.41853314749011,2.788510652349948,3.023457158124952
