seed,method,heldout_nll,heldout_latent_mse,heldout_early_nll,heldout_late_nll
39121,clamp_q,0.8913414296915955,0.07131917529919408,1.1716692932016557,0.8409211781622862
39121,clamp_r,0.9382388040168971,0.08492697574297,0.9995695024572216,0.9273829595577965
39121,factorized,0.852237800686345,0.06154273758846557,1.085005906209893,0.8158914561820144
39121,oracle_dynamic,0.7333229798755645,0.050579630297702995,0.7211119719567692,0.7523403664857226
39121,oracle_factorial_imm,0.7752232028152731,0.05351094956904363,0.8689884026661342,0.7665943232766262
39121,seen_mode_imm,0.9123944737386301,0.07169304211338129,0.9764426711568247,0.9206503696697798
39121,selected_fixed,1.1228648996172024,0.07534089663686155,1.043531808495003,1.223251927105634
39122,clamp_h,0.7913449166727726,0.056100414373456954,0.8952894398053262,0.8389141099681277
39122,clamp_q,0.8178539833229279,0.06421119687363727,0.9625755613343076,0.8444595880494514
39122,clamp_r,0.9213388986675508,0.08804540261039599,0.9244336495383685,0.9404762626707577
39122,factorized,0.7813123392880927,0.056498366807867705,0.8847296656043673,0.8202363581194023
39122,oracle_dynamic,0.6806627798184864,0.04678488574914649,0.658099583130464,0.7568706241351922
39122,oracle_factorial_imm,0.7142767804416302,0.05006250685529526,0.778351058893967,0.7642526247782174
39122,seen_mode_imm,0.8167052368750116,0.06572202571258885,0.8781626826094097,0.9054959680096206
39122,selected_fixed,1.0739851221045584,0.07500624138889717,1.017928218369128,1.177954428898728
39123,clamp_h,0.8491101699556968,0.057520548501151084,1.2188586283322487,0.7813382511270585
39123,clamp_q,0.8665221204144405,0.06108021969417235,1.25324109335195,0.767171087374633
39123,clamp_r,0.9609673553152462,0.08712934126564491,1.0653443965305995,0.8976527528165312
39123,factorized,0.8344789472122193,0.0588996332482041,1.176135164069236,0.7641770728639294
39123,oracle_dynamic,0.702314775088569,0.046934836600288174,0.7218799705359751,0.7082441594421002
39123,oracle_factorial_imm,0.7429926768249762,0.05047031592636707,0.8588516587089735,0.7166353735333661
39123,seen_mode_imm,0.8597163905085559,0.06702970471231212,0.95027979545548,0.8524529732912626
39123,selected_fixed,1.1067228539408227,0.07391618340420873,1.0921233727420592,1.162414350393574
39124,clamp_h,0.8775164543809844,0.06312923666615546,1.1612847275786362,0.8268988339818819
39124,clamp_q,0.8919358569471221,0.06717637485476836,1.220020572949565,0.836053449159473
39124,clamp_r,0.9717772461318204,0.09398164774514339,1.0589217850475903,0.9147241999397031
39124,factorized,0.8603728319744001,0.06420881263435597,1.1332247717408475,0.8142800071888351
39124,oracle_dynamic,0.7331633046461856,0.05090618759879997,0.7455372510578469,0.7411851450787795
39124,oracle_factorial_imm,0.7731314037963963,0.05521735616703593,0.8868346255943409,0.7637639477247808
39124,seen_mode_imm,0.9008233464296636,0.07315179888346048,1.0246534748217644,0.8838487197038277
39124,selected_fixed,1.1545206190727313,0.07926580512579119,1.1766684259210674,1.1679073302685015
39125,clamp_h,0.8558795865782456,0.061998521598531836,1.0816094271361452,0.7026520203838459
39125,clamp_q,0.8711076909494734,0.06924297619431802,1.1413319373191515,0.6889793906022832
39125,clamp_r,0.9374875382917787,0.08601253430316565,1.0781694043354524,0.7941040851790983
39125,factorized,0.836091167581447,0.062071230411104364,1.0538518475341458,0.6895076522979843
39125,oracle_dynamic,0.7413923948774375,0.05047577346326024,0.7860715457335443,0.6476674388181318
39125,oracle_factorial_imm,0.777936720365878,0.05461671727507661,0.9074497020079779,0.6616067255437802
39125,seen_mode_imm,0.9248682454192493,0.0753263877211351,1.0122099059280039,0.7597656006510147
39125,selected_fixed,1.121601520398488,0.07442713970345091,1.1340122484899888,0.9799115089205316
39126,clamp_h,0.8547244756993172,0.05905427607218048,1.0353851607160112,0.8068817571656784
39126,clamp_q,0.8728470315940983,0.06861427196093586,1.0609721381927564,0.8087751303910236
39126,clamp_r,0.9359845512366974,0.08706366201072367,0.9841128900903999,0.8633730924644836
39126,factorized,0.8378259862651004,0.060252832974609115,1.0063569739000602,0.7848307416651134
39126,oracle_dynamic,0.7251763379007118,0.04939136439712034,0.6970358906355714,0.7272845709040789
39126,oracle_factorial_imm,0.7632354343870321,0.05306660380805814,0.8197109106059622,0.736243405156782
39126,seen_mode_imm,0.876715093643473,0.06858207927402424,0.9005691356520746,0.8601879296249815
39126,selected_fixed,1.1306634318480986,0.0744380518024699,1.0500260747687626,1.1324902995265285
39127,clamp_h,0.8453271108161357,0.05668766619851433,1.1092187800777753,0.7755515421440274
39127,clamp_q,0.8683775911243248,0.06089773332552071,1.1998047267235639,0.7710282419357519
39127,clamp_r,0.9466145016759911,0.08523896858938015,1.0966220164577594,0.8577241991754476
39127,factorized,0.8320302763541351,0.056866254331133535,1.1047787469034873,0.7558048268097672
39127,oracle_dynamic,0.7137576005568901,0.04491283574107999,0.7590412904667025,0.7081245042157569
39127,oracle_factorial_imm,0.7563062735977915,0.048549411437988695,0.918645912689037,0.7301729041634547
39127,seen_mode_imm,0.8739653100182074,0.06395645416951536,1.057661187129819,0.8530402807689081
39127,selected_fixed,1.1323457030606272,0.07499638524412033,1.2354473844347014,1.165301239689512
39128,clamp_h,0.8845525081400119,0.06380539819034735,1.2867153480509415,0.7585067640023249
39128,clamp_q,0.9052311679733419,0.06873049826801945,1.3066341331186777,0.7571727685673451
39128,clamp_r,0.9860083580421248,0.0897507199432544,1.2085940731886502,0.8209343819997126
39128,factorized,0.8627792688997293,0.06423308151895929,1.2490679852042532,0.7366669690754792
39128,oracle_dynamic,0.7282922987371911,0.049751805925814754,0.8058238517993864,0.67240135371906
