seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43002,learned_event_learned_qr,28,2,101,011,16,16,0.7348433746041177,0.07972909321490185
43002,learned_event_learned_qr,29,2,011,111,1,1,0.5607922280265446,0.03207047548561166
43002,learned_event_learned_qr,29,2,011,111,4,4,1.982967070133296,0.1967453934908743
43002,learned_event_learned_qr,29,2,011,111,8,8,1.4552182000274945,0.14813849590208053
43002,learned_event_learned_qr,29,2,011,111,16,16,1.0217711083084144,0.10950806157843343
43002,learned_event_learned_qr,30,2,111,011,1,1,0.2899667290230529,0.06311028278978324
43002,learned_event_learned_qr,30,2,111,011,4,4,0.8632019424044259,0.04402751494457734
43002,learned_event_learned_qr,30,2,111,011,8,8,1.0622411014804642,0.028257598600389226
43002,learned_event_learned_qr,30,2,111,011,16,16,0.915906818610629,0.047451917091231324
43002,learned_event_learned_qr,31,2,011,110,1,1,0.551105212526497,0.0004647256714030952
43002,learned_event_learned_qr,31,2,011,110,4,4,0.38647579141509625,0.0024997179143549826
43002,learned_event_learned_qr,31,2,011,110,8,8,0.29911962196578673,0.0053679141579479435
43002,learned_event_learned_qr,31,2,011,110,16,16,0.08370971119308931,0.011565820288647877
43002,learned_event_learned_qr,32,2,110,111,1,1,-0.08548446058687868,0.008059672468271804
43002,learned_event_learned_qr,32,2,110,111,4,4,0.3680993823382311,0.010663997924132959
43002,learned_event_learned_qr,32,2,110,111,8,8,0.36519846638589937,0.01097259539252241
43002,learned_event_learned_qr,32,2,110,111,16,16,0.21114224768176346,0.10417494020362666
43002,learned_event_learned_qr,33,2,111,111,1,1,0.9198283504675556,0.22334341355994075
43002,learned_event_learned_qr,33,2,111,111,4,4,0.7445500605504015,0.08914819408423791
43002,learned_event_learned_qr,33,2,111,111,8,8,1.2116713486264887,0.04950122712252482
43002,learned_event_learned_qr,33,2,111,111,16,16,0.8898073634460697,0.05873703673126513
43002,learned_event_learned_qr,34,2,111,110,1,1,0.5014003572705225,0.024467945192444586
43002,learned_event_learned_qr,34,2,111,110,4,4,0.2335160931736765,0.010221963876619763
43002,learned_event_learned_qr,34,2,111,110,8,8,0.30721643929606945,0.005827877366524495
43002,learned_event_learned_qr,34,2,111,110,16,16,0.8352230293260547,0.010718079432686798
43002,learned_event_learned_qr,35,2,110,110,1,1,3.556600414608138,0.0057252150015192
43002,learned_event_learned_qr,35,2,110,110,4,4,1.0496727676307094,0.002840269540708835
43002,learned_event_learned_qr,35,2,110,110,8,8,0.4499638462949902,0.013351376282763486
43002,learned_event_learned_qr,35,2,110,110,16,16,0.5289568900317102,0.01356330091103852
43002,learned_event_learned_qr,37,3,110,110,1,1,2.7556881830310775,0.12064951057898257
43002,learned_event_learned_qr,37,3,110,110,4,4,0.36747056383459864,0.03485592406830173
43002,learned_event_learned_qr,37,3,110,110,8,8,0.2487583570467157,0.022134526945773954
43002,learned_event_learned_qr,37,3,110,110,16,16,1.0572173394832616,0.017913859797900715
43002,learned_event_learned_qr,38,3,110,111,1,1,2.0590902449239175,0.03186459363740793
43002,learned_event_learned_qr,38,3,110,111,4,4,0.10888517934999614,0.049235265880502074
43002,learned_event_learned_qr,38,3,110,111,8,8,0.34995731402781227,0.1866507653838073
43002,learned_event_learned_qr,38,3,110,111,16,16,1.5297175248031887,0.2050648642939723
43002,learned_event_learned_qr,39,3,111,111,1,1,0.5619849200092526,0.08841485999818913
43002,learned_event_learned_qr,39,3,111,111,4,4,0.7603105523117161,0.10591116025106502
43002,learned_event_learned_qr,39,3,111,111,8,8,0.8198573505499441,0.06811934403880233
43002,learned_event_learned_qr,39,3,111,111,16,16,0.5721543185628162,0.07157859932740658
43002,learned_event_learned_qr,40,3,111,101,1,1,0.8628089257259257,0.18098328494856722
43002,learned_event_learned_qr,40,3,111,101,4,4,0.8907381984491938,0.10519018110940889
