seed,bh,bq,br,ood_nll,triple_nll
39001,0.05,0.05,0.5,0.9528565826866626,1.2664980349452255
39001,0.05,0.2,0.05,0.9123317174651229,1.2061103136855669
39001,0.05,0.2,0.2,0.8983285517885594,1.1961917238852549
39001,0.05,0.2,0.5,0.9076832386171722,1.1825283456737543
39001,0.05,0.5,0.05,0.9173100685382175,1.2050344565514506
39001,0.05,0.5,0.2,0.8849169612523214,1.1782741271095505
39001,0.05,0.5,0.5,0.8938319229777325,1.1682098549172826
39001,0.2,0.05,0.05,0.9382578273949133,1.2350723022260321
39001,0.2,0.05,0.2,0.9488685709300185,1.2552221646938786
39001,0.2,0.05,0.5,0.9809425495054721,1.2685066991962726
39001,0.2,0.2,0.05,0.9360276130485531,1.2180268733167652
39001,0.2,0.2,0.2,0.9204655290888346,1.1994395276917278
39001,0.2,0.2,0.5,0.9323981601287284,1.1928528935599239
39001,0.2,0.5,0.05,0.9495367463167538,1.2234198382180912
39001,0.2,0.5,0.2,0.9087055427642706,1.1847103332475815
39001,0.2,0.5,0.5,0.9192789008785534,1.1830612364468058
39002,0.002,0.05,0.05,0.9479822011383701,1.2100357243409263
39002,0.002,0.05,0.2,0.9383362417576576,1.1883291237010134
39002,0.002,0.05,0.5,0.9696549247515153,1.2115976000488462
39002,0.002,0.2,0.05,0.9301310460209423,1.1851702373311952
39002,0.002,0.2,0.2,0.9059681622503777,1.1624597014458273
39002,0.002,0.2,0.5,0.9140459067929675,1.1812299121175764
39002,0.002,0.5,0.05,0.9281441113077529,1.182838251426205
39002,0.002,0.5,0.2,0.8852998254762195,1.1512505040980636
39002,0.002,0.5,0.5,0.9033068763202655,1.1707972811489584
39002,0.01,0.05,0.05,0.957470988837369,1.2177151082700668
39002,0.01,0.05,0.2,0.9454572536427798,1.1834810888324976
39002,0.01,0.05,0.5,0.9768434051156376,1.209161258097741
39002,0.01,0.2,0.05,0.939828647875987,1.1880060606437746
39002,0.01,0.2,0.2,0.9088490570400541,1.1589563228263866
39002,0.01,0.2,0.5,0.9147740387825731,1.1785116567993594
39002,0.01,0.5,0.05,0.9381023083370797,1.1824905405096167
39002,0.01,0.5,0.2,0.8875071916935573,1.1480821379617794
39002,0.01,0.5,0.5,0.9064357955679051,1.167063948850136
39002,0.05,0.05,0.05,0.9606249732928068,1.2354269094987282
39002,0.05,0.05,0.2,0.9542743504561213,1.189272322859857
39002,0.05,0.05,0.5,0.9818079309575602,1.2153885868218712
39002,0.05,0.2,0.05,0.9487353808601625,1.2081901077971196
39002,0.05,0.2,0.2,0.9213299113576205,1.1701753656944966
39002,0.05,0.2,0.5,0.9220286757318122,1.1920081091156889
39002,0.05,0.5,0.05,0.9439228883881142,1.2027450113639286
39002,0.05,0.5,0.2,0.9036932309846445,1.1662275431277702
39002,0.05,0.5,0.5,0.9158859587341855,1.1850442896243578
39002,0.2,0.05,0.05,0.9881601409489491,1.2782941655391291
39002,0.2,0.05,0.2,0.9783394563049175,1.2587900720461371
39002,0.2,0.05,0.5,1.0038366379088592,1.2757155015541373
39002,0.2,0.2,0.05,0.9746884891537526,1.2562958940353444
39002,0.2,0.2,0.2,0.9523488218660295,1.2465854948149826
39002,0.2,0.2,0.5,0.9545780210519482,1.257949569349588
39002,0.2,0.5,0.05,0.9707700495498689,1.252604439627045
39002,0.2,0.5,0.2,0.9394135289139128,1.2418564370365206
39002,0.2,0.5,0.5,0.9422914771921423,1.2499847034528753
39003,0.002,0.05,0.05,0.8540998469425226,1.1220941708202556
39003,0.002,0.05,0.2,0.836487881525165,1.1082570993496932
39003,0.002,0.05,0.5,0.8689794972938488,1.1524920563366825
39003,0.002,0.2,0.05,0.8373292869579417,1.091564254081493
39003,0.002,0.2,0.2,0.8192089228659679,1.0816837531362171
39003,0.002,0.2,0.5,0.8308005654768166,1.1069947184421458
39003,0.002,0.5,0.05,0.8463530926305683,1.082230115728165
39003,0.002,0.5,0.2,0.8130461795578432,1.064332240554253
39003,0.002,0.5,0.5,0.8253888501176029,1.0978771376482015
39003,0.01,0.05,0.05,0.8516844720488835,1.1219407619629533
39003,0.01,0.05,0.2,0.8350065884280143,1.1023838269994293
39003,0.01,0.05,0.5,0.8668591632861125,1.1450207235415049
39003,0.01,0.2,0.05,0.836412836442161,1.0950493173700266
39003,0.01,0.2,0.2,0.8168984072091808,1.0819247902474902
39003,0.01,0.2,0.5,0.8286921638222579,1.105150621002794
39003,0.01,0.5,0.05,0.8433676739858086,1.0858952596458942
39003,0.01,0.5,0.2,0.8105314207997983,1.066174843686881
39003,0.01,0.5,0.5,0.8237564873392863,1.0990316612066635
39003,0.05,0.05,0.05,0.8607216999147559,1.1479555666408883
39003,0.05,0.05,0.2,0.8352998055017423,1.1189244939033032
39003,0.05,0.05,0.5,0.8699165945200474,1.1648329547191218
39003,0.05,0.2,0.05,0.8419374150267241,1.1226130229126696
39003,0.05,0.2,0.2,0.818927842252171,1.1073565296094712
39003,0.05,0.2,0.5,0.8317426393629394,1.1287085085734236
39003,0.05,0.5,0.05,0.8485208859852845,1.1128775803272613
39003,0.05,0.5,0.2,0.8151458790517837,1.0935630200484272
39003,0.05,0.5,0.5,0.8295774274513558,1.1235907164131236
39003,0.2,0.05,0.05,0.8874425185086801,1.1509960888828081
39003,0.2,0.05,0.2,0.8565967113879435,1.1278597776607262
39003,0.2,0.05,0.5,0.8894715506343301,1.1712270197715768
39003,0.2,0.2,0.05,0.8628047075404884,1.1255301676284608
39003,0.2,0.2,0.2,0.8402544306289755,1.1225911909394717
39003,0.2,0.2,0.5,0.8506945425316471,1.1443252669025035
39003,0.2,0.5,0.05,0.8796496699714251,1.1236893547143347
39003,0.2,0.5,0.2,0.8366036240354798,1.1147354341869005
39003,0.2,0.5,0.5,0.8486248624898182,1.1409741683814942
