hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.01,0.0625,0,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,6.25,0.0
0.01,0.0625,0,persistent_rpe_local,30,0.7917317708333333,0.014322221474034502,0.10631510416666666,10.15,0.012788629936557168,0.8126700394226408,0.2556202514947005,6.25,0.0
0.01,0.0625,0,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,6.25,0.0
0.01,0.0625,4,bayes_reward_filter,30,0.7808430989583334,0.014219012810312962,0.11720377604166667,12.833333333333334,0.011670648367524735,0.6296207971887829,0.21970440576439948,6.25,0.04
0.01,0.0625,4,credit_shuffled_local,30,0.7300211588541666,0.0141572650705108,0.16802571614583334,0.26666666666666666,0.026120041021370936,1.2146086746315754,0.40992862044013806,6.25,0.04
0.01,0.0625,4,cumulative_sample_average,30,0.7605631510416667,0.011366165162773573,0.13748372395833333,8.883333333333333,0.0013806236193134335,2.1861472865990503,0.38462398224434036,6.25,0.04
0.01,0.0625,4,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,6.25,0.04
0.01,0.0625,4,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,6.25,0.04
0.01,0.0625,4,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,6.25,0.04
0.01,0.0625,4,persistent_rpe_local,30,0.788525390625,0.016398947206975056,0.109521484375,11.35,0.013544579022364769,0.8389529057006909,0.26413442981999574,6.25,0.04
0.01,0.0625,4,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,6.25,0.04
0.01,0.0625,16,bayes_reward_filter,30,0.7710205078125,0.012097832904281179,0.1270263671875,16.116666666666667,0.011777322516891502,0.6566591636433876,0.2323183393390744,6.25,0.16
0.01,0.0625,16,credit_shuffled_local,30,0.7350830078125,0.015014337012951616,0.1629638671875,0.31666666666666665,0.0242954020644688,1.2057010969329283,0.403449594369973,6.25,0.16
0.01,0.0625,16,cumulative_sample_average,30,0.7608072916666667,0.011464114111121465,0.13723958333333333,5.816666666666666,0.0010766992704898002,2.0406670870278663,0.38761001147488755,6.25,0.16
0.01,0.0625,16,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,6.25,0.16
