seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39102,fixed,fixed_jump,0.03:0.04:0.01,,0.3443344768481011,0.03,0.04,0.01,False
39102,fixed,fixed_jump,0.03:0.04:0.04,,0.30020878056636485,0.03,0.04,0.04,False
39102,fixed,fixed_jump,0.03:0.04:0.16,,0.5038046548393288,0.03,0.04,0.16,False
39102,fixed,fixed_jump,0.06:0.0025:0.01,,0.535625293591857,0.06,0.0025,0.01,False
39102,fixed,fixed_jump,0.06:0.0025:0.04,,0.2883098257938701,0.06,0.0025,0.04,False
39102,fixed,fixed_jump,0.06:0.0025:0.16,,0.45426097896717227,0.06,0.0025,0.16,False
39102,fixed,fixed_jump,0.06:0.01:0.01,,0.4202460361134935,0.06,0.01,0.01,False
39102,fixed,fixed_jump,0.06:0.01:0.04,,0.26777712794090575,0.06,0.01,0.04,False
39102,fixed,fixed_jump,0.06:0.01:0.16,,0.46101713644766423,0.06,0.01,0.16,False
39102,fixed,fixed_jump,0.06:0.04:0.01,,0.3379348224033652,0.06,0.04,0.01,False
39102,fixed,fixed_jump,0.06:0.04:0.04,,0.3139935359593898,0.06,0.04,0.04,False
39102,fixed,fixed_jump,0.06:0.04:0.16,,0.5224927732184134,0.06,0.04,0.16,False
39102,factorized,online_em,0.002:0.08:0.08,,0.13887241077663134,0.002,0.08,0.08,False
39102,factorized,online_em,0.002:0.08:0.2,,0.13006599948538147,0.002,0.08,0.2,False
39102,factorized,online_em,0.002:0.08:0.5,,0.146100198268345,0.002,0.08,0.5,False
39102,factorized,online_em,0.002:0.2:0.08,,0.1202583231798885,0.002,0.2,0.08,False
39102,factorized,online_em,0.002:0.2:0.2,,0.09345367793392341,0.002,0.2,0.2,False
39102,factorized,online_em,0.002:0.2:0.5,,0.1015127449849388,0.002,0.2,0.5,False
39102,factorized,online_em,0.002:0.5:0.08,,0.11051930362952704,0.002,0.5,0.08,False
39102,factorized,online_em,0.002:0.5:0.2,,0.06851555059339141,0.002,0.5,0.2,False
39102,factorized,online_em,0.002:0.5:0.5,,0.08464871934808138,0.002,0.5,0.5,False
39102,factorized,online_em,0.01:0.08:0.08,,0.14125897761681305,0.01,0.08,0.08,False
39102,factorized,online_em,0.01:0.08:0.2,,0.13137165512030324,0.01,0.08,0.2,False
39102,factorized,online_em,0.01:0.08:0.5,,0.14652869005027633,0.01,0.08,0.5,False
39102,factorized,online_em,0.01:0.2:0.08,,0.1218202731684126,0.01,0.2,0.08,False
39102,factorized,online_em,0.01:0.2:0.2,,0.09492706747739983,0.01,0.2,0.2,False
39102,factorized,online_em,0.01:0.2:0.5,,0.10225461438010523,0.01,0.2,0.5,False
39102,factorized,online_em,0.01:0.5:0.08,,0.11141744705223812,0.01,0.5,0.08,False
39102,factorized,online_em,0.01:0.5:0.2,,0.06841616628657247,0.01,0.5,0.2,True
39102,factorized,online_em,0.01:0.5:0.5,,0.08416578819492848,0.01,0.5,0.5,False
39102,factorized,online_em,0.05:0.08:0.08,,0.15211677372751828,0.05,0.08,0.08,False
39102,factorized,online_em,0.05:0.08:0.2,,0.14420113259020945,0.05,0.08,0.2,False
39102,factorized,online_em,0.05:0.08:0.5,,0.15370331703862902,0.05,0.08,0.5,False
39102,factorized,online_em,0.05:0.2:0.08,,0.12733214987102306,0.05,0.2,0.08,False
39102,factorized,online_em,0.05:0.2:0.2,,0.09985693046337547,0.05,0.2,0.2,False
39102,factorized,online_em,0.05:0.2:0.5,,0.10515593042063492,0.05,0.2,0.5,False
39102,factorized,online_em,0.05:0.5:0.08,,0.11379863915165121,0.05,0.5,0.08,False
39102,factorized,online_em,0.05:0.5:0.2,,0.07076422150902868,0.05,0.5,0.2,False
39102,factorized,online_em,0.05:0.5:0.5,,0.08724761796625746,0.05,0.5,0.5,False
39102,seen_imm,seen_imm,0.00390625,,-0.01383554507715523,,,,False
39102,seen_imm,seen_imm,0.0078125,,-0.017913006869118345,,,,False
39102,seen_imm,seen_imm,0.015625,,-0.01978408844714096,,,,True
39102,seen_imm,seen_imm,0.03125,,-0.01751005424674083,,,,False
39102,oracle_imm,oracle_imm,0.00390625,,-0.007641703001761439,,,,False
39102,oracle_imm,oracle_imm,0.0078125,,-0.011443430503133132,,,,False
39102,oracle_imm,oracle_imm,0.015625,,-0.012760392153889707,,,,True
39102,oracle_imm,oracle_imm,0.03125,,-0.009183841730505685,,,,False
