seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43005,learned_event_learned_qr,894,0,111,4,4,0.4726816472312483,0.04960391646107112
43005,learned_event_learned_qr,894,0,111,8,8,0.5170021637226623,0.03324627405618054
43005,learned_event_learned_qr,894,0,111,16,16,0.6245129430756933,0.0895892723967083
43005,learned_event_learned_qr,916,0,111,1,1,0.3503161090245661,0.0032434388961020627
43005,learned_event_learned_qr,916,0,111,4,4,1.4451236789979176,0.03754412323300506
43005,learned_event_learned_qr,916,0,111,8,8,0.9821052908920046,0.02672068528780716
43005,learned_event_learned_qr,916,0,111,16,16,1.0288980154465008,0.056636944811788104
43005,learned_event_learned_qr,1098,0,110,1,1,0.8420877706449923,0.002293621939637873
43005,learned_event_learned_qr,1098,0,110,4,4,0.3496357539671189,0.014091104307268277
43005,learned_event_learned_qr,1098,0,110,8,8,0.1884850446087039,0.00877059045629779
43005,learned_event_learned_qr,1098,0,110,16,16,0.08096905294951216,0.006451795761633124
43005,learned_event_learned_qr,1119,0,110,1,1,-0.017256988105478287,0.0007131633514142402
43005,learned_event_learned_qr,1119,0,110,4,4,-0.32587037060957347,0.008525716113562518
43005,learned_event_learned_qr,1119,0,110,8,8,0.020411313196428638,0.007161221845034975
43005,learned_event_learned_qr,1119,0,110,16,15,-0.07436470956601053,0.005557554837490664
43005,learned_event_learned_qr,1135,0,110,1,1,0.15107159730298758,0.00147937952332775
43005,learned_event_learned_qr,1135,0,110,4,4,-0.4395316887519158,0.003737770331978254
43005,learned_event_learned_qr,1135,0,110,8,8,-0.15188737496858995,0.004305881788411908
43005,learned_event_learned_qr,1135,0,110,16,16,0.06486445712529434,0.004605069479881773
43005,learned_event_learned_qr,1183,1,111,1,1,1.0855185687641473,0.20784849018933005
43005,learned_event_learned_qr,1183,1,111,4,4,1.1030748608766523,0.24903193685401714
43005,learned_event_learned_qr,1183,1,111,8,8,0.9945982185975024,0.21215533321397567
43005,learned_event_learned_qr,1183,1,111,16,16,1.266190789953109,0.15477758474089612
43005,learned_event_learned_qr,1207,1,111,1,1,2.290306817087108,0.010860492053509536
43005,learned_event_learned_qr,1207,1,111,4,4,1.409179737952089,0.072443446019068
43005,learned_event_learned_qr,1207,1,111,8,8,1.1988608132038068,0.084430209284509
43005,learned_event_learned_qr,1207,1,111,16,13,1.0458618846130725,0.06566071452302488
43005,learned_event_learned_qr,1221,1,111,1,1,0.6344024503932526,0.01539695820689205
43005,learned_event_learned_qr,1221,1,111,4,4,0.5807644076775539,0.032037084546050185
43005,learned_event_learned_qr,1221,1,111,8,8,0.8214729593485898,0.0773482872194555
43005,learned_event_learned_qr,1221,1,111,16,16,0.9658808007645303,0.08183656979267537
43005,learned_event_learned_qr,1262,1,111,1,1,1.5282996343584219,0.003274354234872581
43005,learned_event_learned_qr,1262,1,111,4,4,0.828862586015247,0.11993441882458614
43005,learned_event_learned_qr,1262,1,111,8,7,0.8045637002488045,0.07080979490820935
43005,learned_event_learned_qr,1262,1,111,16,7,0.8045637002488045,0.07080979490820935
43005,learned_event_learned_qr,1270,1,111,1,1,0.25288954855234325,0.0015489806338767629
43005,learned_event_learned_qr,1270,1,111,4,4,1.1142487860698473,0.07674681597034863
43005,learned_event_learned_qr,1270,1,111,8,8,0.9361609275526706,0.170219575234637
43005,learned_event_learned_qr,1270,1,111,16,16,1.1397186924116849,0.14565218508991604
43005,learned_event_learned_qr,1325,1,111,1,1,0.8804886319737792,0.26711178594130164
43005,learned_event_learned_qr,1325,1,111,4,4,0.7655086532285948,0.08606324054031828
43005,learned_event_learned_qr,1325,1,111,8,8,0.7103253212240423,0.07533487437767568
43005,learned_event_learned_qr,1325,1,111,16,16,0.6638180644639098,0.07773593180016193
43005,learned_event_learned_qr,1349,1,111,1,1,0.5423290154468174,0.06947801727873683
43005,learned_event_learned_qr,1349,1,111,4,4,0.40044192591134753,0.0879991993549153
43005,learned_event_learned_qr,1349,1,111,8,8,0.47183065317518813,0.06935679544979884
43005,learned_event_learned_qr,1349,1,111,16,16,0.6135367860908455,0.05282242888678957
43005,learned_event_learned_qr,1370,1,111,1,1,0.17417803288513262,0.18787648219179132
43005,learned_event_learned_qr,1370,1,111,4,4,1.0780437012517619,0.10151966587281977
43005,learned_event_learned_qr,1370,1,111,8,8,0.9218480102887882,0.07404954783197656
43005,learned_event_learned_qr,1370,1,111,16,16,0.9156397687912436,0.06777973615482713
43005,learned_event_learned_qr,1542,1,111,1,1,0.3271774997675676,0.08991694746078481
43005,learned_event_learned_qr,1542,1,111,4,4,0.5621517964306576,0.1094632598853327
43005,learned_event_learned_qr,1542,1,111,8,8,0.794305794545876,0.07167635083550172
43005,learned_event_learned_qr,1542,1,111,16,16,0.9450641306782797,0.06862290377966157
43005,learned_event_learned_qr,1563,1,111,1,1,1.4292487794128714,0.15802413176104627
43005,learned_event_learned_qr,1563,1,111,4,4,0.7437002752233136,0.0738042187663464
43005,learned_event_learned_qr,1563,1,111,8,8,0.7560126401435542,0.07263898688556414
43005,learned_event_learned_qr,1563,1,111,16,16,0.9718566522121193,0.07731733848374875
43005,learned_event_learned_qr,1672,1,110,1,1,0.01656141198264658,0.0009965917976135922
43005,learned_event_learned_qr,1672,1,110,4,4,-0.026714049098586268,0.00784259831873986
43005,learned_event_learned_qr,1672,1,110,8,8,0.0579914270851504,0.005438562715048692
43005,learned_event_learned_qr,1672,1,110,16,11,-0.05943224216922139,0.006180373364629727
43005,learned_event_learned_qr,1684,1,110,1,1,2.1893722636327184,0.09723284358370927
43005,learned_event_learned_qr,1684,1,110,4,4,0.9426807853606879,0.0654123821011974
43005,learned_event_learned_qr,1684,1,110,8,5,0.7955043969874888,0.05466713986800955
43005,learned_event_learned_qr,1684,1,110,16,5,0.7955043969874888,0.05466713986800955
43005,learned_event_learned_qr,1690,1,110,1,1,0.007461385516098908,0.000602655909157006
43005,learned_event_learned_qr,1690,1,110,4,4,-0.06566038666487976,0.0018270040428085246
