seed,selection_family,candidate,selection_nll,data_split,fit_tape_digest,uses_true_parameters,selected,candidate_q,candidate_r,candidate_q_rate,candidate_r_rate,candidate_decay,candidate_prior_mass,candidate_q_fraction,candidate_switch
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.9,0.2036096498129128,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.9,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.041666666666666664,0.3712726632491853,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.08333333333333333,0.2550911487257997,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.25,0.16177866094364343,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.25,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.5,0.1618869741196115,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.5,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.6666666666666666,0.17597748190392368,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.95:prior_mass=4.0:q_fraction=0.9,0.20339036403524063,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,4.0,0.9,
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.041666666666666664,0.37241427883495715,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.08333333333333333,0.25586037881144946,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.25,0.1619681442654408,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.25,
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.5,0.16182669868247213,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.5,
