candidate_rank,eid,subject,date,lab,pids,animal_round,cohort_id,bwm_repository_commit,status,eligible,error_type,error,dataset_uuid,dataset_rel_path,dataset_revision,dataset_hash,dataset_file_size,dataset_qc,raw_trial_count,essential_trial_count,analysis_trial_count,removed_trial_count,valid_choice_count,valid_feedback_count,official_bwm_mask_present,official_bwm_mask_trial_count,context_switch_count,has_low_and_high_context,exclusion_reason,source_dataset_trial_count,official_loader_trial_count,official_trial_mask_protocol,dataset_qc_eligible,compact_table,compact_table_sha256
10,2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,2020-03-09,churchlandlab,35897454-8702-4dc4-9865-7f01fa65f355;9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,403166b2-6be3-402c-b995-70d18faae155,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,b65c0355c1e7273fd8fa1c4d4fecc928,46794.0,WARNING,553,553,451,0,449,451,True,451,11,True,,553,553,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/2e6e179c-fccc-4e8f-9448-ce5b6858a183/trials.csv,10b643c8a84e71c61dbd16084c999c6e2d7f38d1c64d5cffb9f1c0d3d190d83d
11,3e7ae7c0-fe8b-487c-9354-036236fa1010,CSH_ZAD_001,2020-01-16,zadorlab,6d3b68e0-3efd-4b03-b747-16e44118a0a9,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,b4e74d87-ff14-4261-aa56-63c7d0d0dd84,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,9ca44b8d10fa32cc2497313736809523,65931.0,WARNING,854,854,406,0,406,406,True,406,13,True,,854,854,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/3e7ae7c0-fe8b-487c-9354-036236fa1010/trials.csv,6950370f7c3a0e2d9570eb08fa40fbf9de2ad9b51f3989c3dbeac55840185144
12,5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,CSH_ZAD_011,2020-03-21,zadorlab,68c98fb2-402b-4670-9b3b-0c77619998ea;d6c810b2-5922-4127-af2b-4b104bc55c2b,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,44656b94-66b0-4330-aca4-6bb7a968afc6,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,6c02fc54f5023cf9f07a25e49ab67d7e,49243.0,PASS,591,591,437,0,437,437,True,437,9,True,,591,591,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/5b44c40f-80f4-44fb-abfb-c7f19e27a6ca/trials.csv,a8716e79dd6b805865c5a062ea0e80aef3a065c469702fdbde1da5a7c78d2a27
13,7f6b86f9-879a-4ea2-8531-294a221af5d0,CSH_ZAD_019,2020-08-14,zadorlab,4c04120d-523a-4795-ba8f-49dbb8d9f63a;9657af01-50bd-4120-8303-416ad9e24a51,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,f6812a64-bef4-49fc-8803-556af7635d34,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,fbe5667f57da8113a00df1ebf3637be5,77277.0,WARNING,1013,1013,630,0,630,630,True,630,17,True,,1013,1013,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/7f6b86f9-879a-4ea2-8531-294a221af5d0/trials.csv,6884798448ee49ef756164852020d418b21a757fab91f50e01343bbfda0c367e
14,8db36de1-8f17-4446-b527-b5d91909b45a,CSH_ZAD_022,2020-05-19,zadorlab,e6508b9a-9dec-47d7-88c7-b0a72c7d1134,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,9d9e23c4-018c-4fc1-a7a9-8994ad244f80,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,d59434c025735d76f7db031ec4ed5fdc,106661.0,PASS,1440,1440,841,0,841,841,True,841,30,True,,1440,1440,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/8db36de1-8f17-4446-b527-b5d91909b45a/trials.csv,16a65cfd874bdcdfd21a872a79f5933d131c5bad39304255d8eca35f4680b61c
15,8207abc6-6b23-4762-92b4-82e05bed5143,CSH_ZAD_024,2020-06-08,zadorlab,9bd71ac6-c455-41f3-8c56-59987a649ac4;e22d047c-5beb-4e5b-9a3d-53b637743856,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,d9abca3a-1c3b-4193-b6f1-9976b05d813e,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,9be4303475c2ed4e3b662928f161243e,59874.0,WARNING,751,751,501,0,500,501,True,501,11,True,,751,751,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/8207abc6-6b23-4762-92b4-82e05bed5143/trials.csv,8ac99173110d6cea314136ef1eaa8228ba5e03fadb3ffbe80f12ae6fed112313
16,20c112a1-8a42-44e0-a4cd-e5b932f7bda9,CSH_ZAD_025,2020-07-26,zadorlab,38981973-20de-44e5-8717-efcf88642502;d06bdedb-e173-4fe5-a4f1-ab9ab53f9761,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,8ddeece4-fffd-4dcd-aa50-b0729be34e93,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,9fda7561cb9d006987d9f4d8e535a223,52261.0,PASS,636,636,443,0,443,443,True,443,9,True,,636,636,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/20c112a1-8a42-44e0-a4cd-e5b932f7bda9/trials.csv,3ba386411e6cc6a526a05cf26ce9cbde47b2e3f998d41d8a24f5e9523b44a1a6
17,5d01d14e-aced-4465-8f8e-9a1c674f62ec,CSH_ZAD_026,2020-08-14,zadorlab,0dfc64c5-80bc-43b6-a7c4-2fb6e638e9f3;c84144db-4498-4627-b72a-975a6b618715,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,5ab7d131-8baf-4e13-9c70-882a7f24f872,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,56b51d8c3d5d9c1a97b2745de43f931f,46978.0,PASS,555,555,260,0,260,260,True,260,8,True,analysis_trials;valid_choices;valid_feedback,555,555,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
18,e349a2e7-50a3-47ca-bc45-20d1899854ec,CSH_ZAD_029,2020-09-11,zadorlab,3bd1f88b-4e0c-43a6-9483-3305e82f2fae;c9664185-d3fd-4e0e-89cf-77c402038938,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,7a1c4ced-8826-4ce3-a37f-c8b9163c3c81,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,c717267fc906b219b331dc568cd7fb92,77726.0,WARNING,1022,1022,883,0,883,883,True,883,18,True,,1022,1022,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/e349a2e7-50a3-47ca-bc45-20d1899854ec/trials.csv,7169fab24aad1c670cfccca26a41140de01fe897693dfed8ac3795c1ca4f1b75
19,0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9,DY_008,2020-03-03,danlab,44fc463b-405f-4048-9242-ac018b9f50f7,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,1c16774c-267b-4e4b-8c37-6dc12bce4a48,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,7811c858dfa319d52b828cbd77331fad,40980.0,WARNING,471,471,292,0,292,292,True,292,9,True,analysis_trials;valid_choices;valid_feedback,471,471,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
20,db4df448-e449-4a6f-a0e7-288711e7a75a,DY_009,2020-02-27,danlab,febb430e-2d50-4f83-87a0-b5ffbb9a4943,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,e0633707-0ec9-4cec-ae07-0288fa704b6a,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,31222a0c99768246e02b183fc4187214,36495.0,PASS,402,402,289,0,289,289,True,289,5,True,analysis_trials;valid_choices;valid_feedback;context_switches,402,402,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
21,4fa70097-8101-4f10-b585-db39429c5ed0,DY_010,2020-01-21,danlab,c2363000-27a6-461e-940b-15f681496ed8,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,7d66b174-85d8-4c04-9afb-caf5e2791d18,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,83811ecf8ca59f2fb58149e18a1bec2c,41472.0,WARNING,485,485,339,0,339,339,True,339,8,True,,485,485,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/4fa70097-8101-4f10-b585-db39429c5ed0/trials.csv,1baba420000caa4e6148320728f0b6a6aa65eaf9bb794b83bd187f119bc279df
22,7bee9f09-a238-42cf-b499-f51f765c6ded,DY_011,2020-01-31,danlab,26118c10-35dd-4ab1-9f0f-b9a89a1da070,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,b3a5f2ff-f06d-4835-9d25-044fceb6719d,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,df6607f8397a946f50fdab77687ca5c3,39223.0,WARNING,449,449,351,0,351,351,True,351,8,True,,449,449,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/7bee9f09-a238-42cf-b499-f51f765c6ded/trials.csv,77482e4a7d37e0ebabf936981b1f07ad090f38db0e012ec93249411fd1439c17
23,2f63c555-eb74-4d8d-ada5-5c3ecf3b46be,DY_013,2020-03-06,danlab,0925fb1b-cf83-4f55-bfb7-aa52f993a404,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,8dcff056-4f9a-4dbf-8968-9ba536792b96,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,3c3bcca5d53396f1425b76641f214b19,36777.0,PASS,407,407,255,0,255,255,True,255,6,True,analysis_trials;valid_choices;valid_feedback;context_switches,407,407,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
24,f25642c6-27a5-4a97-9ea0-06652db79fbd,DY_014,2020-07-13,danlab,57acb640-4f64-4a89-bedf-69351a3aea75;bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,f67aec0d-e447-42bf-a2dc-f7505cf48ac6,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,91a8aeb933a174a6128b15b8b917c15b,36572.0,PASS,403,403,332,0,332,332,True,332,5,True,context_switches,403,403,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
25,5339812f-8b91-40ba-9d8f-a559563cc46b,DY_016,2020-09-11,danlab,03c42ea1-1e04-4a3e-9b04-46d8568dcd02;95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,bd076bc0-f965-4c95-8bfd-2cfdeaf3748f,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,27584c619246571edd95d11c79043a6e,38788.0,PASS,438,438,292,0,292,292,True,292,6,True,analysis_trials;valid_choices;valid_feedback;context_switches,438,438,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
26,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,DY_018,2020-10-15,danlab,94fcff55-2da2-4366-a2c7-2f58c05b54dc;f26a6ab1-7e37-4f8d-bb50-295c056e1062,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,8d5d9db1-24bc-4848-8ee8-b63a1500c3ef,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,017f8a77498736d30fd923700bb2b0b1,51398.0,WARNING,623,623,430,0,430,430,True,430,9,True,,623,623,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/54238fd6-d2d0-4408-b1a9-d19d24fd29ce/trials.csv,72061d802d096310f0c9b9a01df03f44f7e72b89e075b977c17de00d0c1517a8
27,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,DY_020,2020-09-29,danlab,63517fd4-ece1-49eb-9259-371dc30b1dd6;ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,f987a335-6d93-4aad-8c87-516a452b8029,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,9f56d1e70208a037b39e6d976e224f0f,36423.0,PASS,401,401,212,0,212,212,True,212,5,True,analysis_trials;valid_choices;valid_feedback;context_switches,401,401,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
28,16693458-0801-4d35-a3f1-9115c7e5acfd,KS014,2019-12-03,cortexlab,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2;b543e81e-4c8f-415e-82ec-631b177d19d2,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,7678fb4d-1187-451d-bc05-6d7ccea3b3a6,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,9243b24424e766f7aedd65e2651615ef,45357.0,WARNING,531,531,353,0,353,353,True,353,10,True,,531,531,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/16693458-0801-4d35-a3f1-9115c7e5acfd/trials.csv,6e508f9370dee2430b3768851c71e2ac29af493b8a99fe7f08972d0dfeea1c6f
29,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,KS016,2019-12-05,cortexlab,31811232-52ef-456c-9772-5021c00b2bc9;fa539f97-a078-4fc6-9a12-237799466d9c,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,57dfcdb1-d067-403e-ab07-142974868966,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,b8718b7aff7cbe0c905431c6b0778eb4,39260.0,WARNING,445,445,325,0,325,325,True,325,6,True,context_switches,445,445,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
30,15f742e1-1043-45c9-9504-f1e8a53c1744,KS022,2019-12-09,cortexlab,3675290c-8134-4598-b924-83edb7940269;82765a73-2a03-42ca-ba98-194247caa62e,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,d589858d-3d6a-4deb-bd58-3e3d3b099385,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,0f220182ef278dec227a0351c9505d4b,64791.0,PASS,826,826,484,0,484,484,True,484,16,True,,826,826,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/15f742e1-1043-45c9-9504-f1e8a53c1744/trials.csv,d7187a55c1cc00534874430f122cde51345cd4d10ee5634b8ef1f7d55af7a16f
31,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,KS023,2019-12-06,cortexlab,adca9242-0725-41d4-8eb1-5655a464431d;e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,6451d5ab-3139-4e44-ad1c-26fbe21c6357,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,d61691f48f9057cd82f510ebe3f3632e,53443.0,PASS,653,653,506,0,506,506,True,506,10,True,,653,653,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/a4000c2f-fa75-4b3e-8f06-a7cf599b87ad/trials.csv,219e4c2a6cf14949977aceff95c74f811eef8394c6ecb30aaca23818bea74400
32,8c552ddc-813e-4035-81cc-3971b57efe65,KS042,2020-11-23,cortexlab,10ef1dcd-093c-4839-8f38-90a25edefb49;b98f6b89-3de4-4295-be1c-59e465de1e32,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,560c32d8-5aac-4ed0-b0bc-5728664b74eb,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,f496e5c61cad7a1efafd5030d5c9a757,40082.0,PASS,457,457,330,0,330,330,True,330,6,True,context_switches,457,457,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
33,9468fa93-21ae-4984-955c-e8402e280c83,KS043,2020-12-06,cortexlab,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4;f0dfd1c1-d315-4cf8-9130-05d3be2ea0cb,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,85877fba-ecfc-4e86-8a08-a3c5fb45be1f,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,44032e11d2a1561fd5531deac71091ca,44225.0,PASS,514,514,378,0,378,378,True,378,8,True,,514,514,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/9468fa93-21ae-4984-955c-e8402e280c83/trials.csv,8b771bd1f3d5d4af9f6c506521e153a04201439157225b04c975293fd2ce2d0b
34,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,KS044,2020-12-07,cortexlab,50445b30-f4ef-4405-b014-1d792ddfed88;825ba9b8-ce03-49b7-b1a8-4d85ae2185af,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,ae50521f-3082-47a0-ac90-06a49872ae74,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,7c324250738882ce6801ca4e59734889,62262.0,PASS,786,786,481,0,479,481,True,481,11,True,,786,786,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/a6fe44a8-07ab-49b8-81f9-e18575aa85cc/trials.csv,608fef2567e6be3f4139f980312f34c1c08da12695441feb461b4b01725c8bf2
35,571d3ffe-54a5-473d-a265-5dc373eb7efc,KS045,2020-12-06,cortexlab,437f43e1-9c8f-4be9-ac89-97885b0e03d0;aecd7612-b5c5-4ad2-9e76-e5b783387e47,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,excluded,False,,,faa1515e-0a93-4cd4-af6e-8764a1da981d,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,f3ab2f387510ac405469f02ac1e843be,36637.0,WARNING,404,404,243,0,243,243,True,243,5,True,analysis_trials;valid_choices;valid_feedback;context_switches,404,404,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,,
36,0ac8d013-b91e-4732-bc7b-a1164ff3e445,KS046,2020-12-02,cortexlab,63435e73-6a72-4007-b0da-03e6473e6870;8d661567-49f3-4547-997d-a345c0ffe2dd,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,ea0d710c-6499-4594-9a2d-73c88fbac450,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,1d2bec931bd066974295db52cdad32b9,65842.0,WARNING,841,841,674,0,674,674,True,674,12,True,,841,841,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/0ac8d013-b91e-4732-bc7b-a1164ff3e445/trials.csv,00847670a6fa406e25c15a74272da5d3e71fa6c6a073319ba4afd92d08d9e19a
